	C_score	pvals
Ankrd16_nmdSE_2	0.02156579726879182	0.18790604697651175
Ankrd17_1	0.03631571260969979	0.05247376311844078
Ankrd42_1	0.03531431221633552	0.15692153923038482
Anks1b_3	0.0955636876390975	0.026986506746626688
Anks1b_7	0.05782385550268143	0.001999000499750125
Anks3_11	0.01867206540369537	0.2433783108445777
Anks3_16	0.06239964169688739	0.1329335332333833
Anks3_18	0.0820821221867718	0.0079960019990005
Anks3_3	0.04973682423848669	0.025987006496751622
Ap1ar_2	0.07183584167029278	0.014992503748125937
Ap1b1_4	0.4127891134169225	0.0004997501249375312
Ap2a1_2	0.19545177167257088	0.0004997501249375312
Ap2b1_6	0.08521403772629677	0.0004997501249375312
Apba1_1	0.09608765654549911	0.0004997501249375312
Apbb1_5	0.08834296789179796	0.0004997501249375312
Apbb2_8	0.0299262403533338	0.5442278860569715
Apc_4	0.1405878616662095	0.0004997501249375312
Apeh_4	0.11370527673826825	0.0014992503748125937
Apip_1	0.11569870271874227	0.0004997501249375312
Aplp2_2	0.11084485261981292	0.0004997501249375312
Aplp2_3	0.16032493384289437	0.0004997501249375312
Apmap_2	0.19097882110406572	0.0004997501249375312
Appl1_5	0.02326631947191249	0.4802598700649675
Arfgap1_2	0.021893758349648018	0.18140929535232383
Arfgap1_5	0.018458153870739902	0.3188405797101449
Arfgap1_7	0.5591317797016531	0.0004997501249375312
Arfrp1_9	0.024672290534325514	0.041979010494752625
Arhgap12_3	0.012714949183164403	0.6201899050474763
Arhgap12_4	0.09353115276800916	0.00399800099950025
Arhgap12_5	0.14129483643102625	0.0004997501249375312
Arhgap12_9	0.004125184581244001	0.8610694652673663
Arhgap1_5	0.05466763080322812	0.0029985007496251873
Arhgap33_1	0.05720819869122473	0.0004997501249375312
Arhgap33_4	0.059455903513351394	0.0004997501249375312
Arhgap44_3	0.18724758724866186	0.0014992503748125937
Arhgef10l_nmdSE_2	0.054440701234876765	0.10644677661169415
Arhgef40_6	0.004147861735112279	0.7286356821589205
Arhgef40_7	0.08477048293232015	0.10494752623688156
Arhgef7_4	0.10349244391576295	0.004997501249375313
Arhgef9_2	0.20153793519325192	0.0004997501249375312
Armc8_4	0.04283597023432695	0.0079960019990005
Armc9_4	0.06412357896933363	0.12193903048475763
Armcx1_3	0.004007142257830942	0.6756621689155422
Armcx1_4	0.07376072110067544	0.0004997501249375312
Armcx2_1	0.08998697251854504	0.0004997501249375312
Arrdc3_1	0.024068622648956484	0.408295852073963
Arvcf_2	0.04835284478699731	0.15942028985507245
Asap1_4	0.10590194266717678	0.0004997501249375312
Asph_5	0.09854117324782596	0.0004997501249375312
Atat1_4	0.14989609368957968	0.0004997501249375312
Atat1_nmdSE_1	0.07617076806217626	0.0024987506246876563
