GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Tatdn1_3	1626	783	2.932e-01	1.389e+00	6.677e+00	3.454e+00	1.533e-01	5.797e-01	7.927e-01
Tatdn1_5	1428	854	2.782e-01	5.790e+00	4.496e+00	-9.218e-01	-3.904e-01	1.000e+00	1.000e+00
Taz_3	3136	1397	4.624e-01	7.413e+00	2.968e+00	-3.126e+00	2.804e+00	1.788e-02	1.009e-01
Taz_6	3773	1316	4.737e-01	3.666e+00	4.660e+00	3.829e-01	-5.447e-01	1.000e+00	1.000e+00
Tbc1d13_9	4048	1364	4.474e-01	5.871e+00	4.114e+00	3.127e+00	1.077e+00	1.421e-01	3.660e-01
Tbc1d13_nmdSE_2	3952	1769	4.511e-01	-4.907e+00	6.583e+00	-2.355e-01	7.520e-02	6.982e-01	9.179e-01
Tbc1d13_13	3173	998	4.436e-01	-7.730e+00	4.036e+00	-1.270e+00	1.421e-01	5.940e-01	8.086e-01
Tbc1d19_nmdSE_1	3322	1162	5.865e-01	-7.319e+00	4.740e+00	5.563e-01	-1.172e+00	1.000e+00	1.000e+00
Tbc1d25_1	2653	1147	2.331e-01	5.436e+00	2.492e+00	-1.240e+00	8.386e-01	1.953e-01	4.242e-01
Tbc1d9b_2	1999	1284	3.421e-01	3.552e+00	5.572e+00	1.251e+00	-7.045e-01	1.000e+00	1.000e+00
Tbc1d9b_3	1044	468	2.970e-01	4.205e+00	3.958e+00	8.328e-01	3.694e-01	3.901e-01	6.043e-01
Tbc1d9b_5	1186	336	3.158e-01	4.453e+00	3.849e+00	4.496e+00	1.219e+00	1.184e-01	3.282e-01
Tbce_12	8894	2873	6.090e-01	4.481e+00	4.346e+00	2.354e+00	1.911e+00	5.058e-02	1.937e-01
Tbck_2	4003	1107	3.120e-01	5.887e+00	5.452e+00	-2.065e+00	1.099e-01	6.392e-01	8.577e-01
Tbl1x_1	2484	376	4.361e-01	-5.522e+00	4.551e+00	-1.578e+00	7.828e-01	2.108e-01	4.385e-01
Tbp_1	6334	1136	5.564e-01	2.274e+00	4.859e+00	-3.173e+00	1.144e+00	1.305e-01	3.479e-01
Tbp_3	6698	1191	5.564e-01	-2.694e+00	6.671e+00	-1.025e+00	6.912e-01	2.397e-01	4.632e-01
Tbp_4	7577	2379	5.602e-01	9.862e-01	3.245e+00	-2.050e+00	1.557e+00	7.761e-02	2.524e-01
Tbp_6	5812	614	5.489e-01	-2.843e+00	6.288e+00	-3.604e-01	-2.158e-01	1.000e+00	1.000e+00
Tcaf1_2	38309	1132	9.511e-01	-6.137e+00	3.548e+00	1.067e+00	1.318e-02	8.710e-01	1.000e+00
Tceb1_3	4248	1674	8.233e-01	-6.252e+00	3.068e+00	2.112e+00	2.748e+00	1.905e-02	1.054e-01
Tcerg1_3	10147	1952	5.902e-01	6.269e-01	4.815e+00	1.310e+00	2.065e-01	5.204e-01	7.318e-01
Tcerg1_nmdSE_1	9737	439	5.150e-01	-7.334e+00	3.658e+00	5.530e-01	5.234e-01	3.062e-01	5.326e-01
Tcf12_7	32741	7921	7.744e-01	3.183e+00	2.889e+00	1.082e+00	-9.922e-01	1.000e+00	1.000e+00
Tcf12_nmdSE_4	6857	1638	5.489e-01	-5.158e+00	3.431e+00	-3.840e+00	2.280e-01	4.995e-01	7.078e-01
Tcf25_3	42387	9862	9.699e-01	6.594e+00	2.034e+00	-3.509e+00	1.443e+01	7.767e-08	3.245e-06
Tcf4_6	4658	1040	5.150e-01	5.147e+00	4.809e+00	1.682e+00	2.756e-01	4.578e-01	6.651e-01
Tcof1_2	3155	523	3.421e-01	-3.985e+00	5.211e+00	1.280e+00	-1.173e-01	1.000e+00	1.000e+00
