X_scVI1,X_scVI2,X_scVI3,X_scVI4,X_scVI5,X_scVI6,X_scVI7,X_scVI8,X_scVI9,X_scVI10,X_umap1,X_umap2,X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50,X_tsne1,X_tsne2
-0.029465199,-0.41166025,-0.013166368,-0.91562724,-0.21575928,0.88786834,-0.2989977,-0.118035614,-0.6481723,-2.098437,-2.575754,10.907103,-6.3855176,-6.7213836,-2.6104198,1.1622179,-0.82726127,1.0001817,0.59216636,-1.5897725,-0.2744226,4.321206,-1.2482455,2.1215298,2.0150678,-0.32801908,-0.25301406,-0.7914393,0.6084771,-0.8574924,-1.7487506,1.328745,-0.011351928,0.48321486,-0.08625832,-0.51822823,1.5882773,0.70918465,-0.3817534,-1.3966175,-0.43605807,0.21414374,0.18789494,-0.8395238,0.18296656,0.009758396,-1.2023953,-0.11429799,0.71413034,0.56126696,1.279357,-0.7383356,0.13506293,0.20046957,-0.13725887,-0.9845996,-0.16491246,-0.6700354,-0.34065792,-0.015226308,-0.734057,-0.68378055,-41.714237,38.468746
-0.0721634,-0.31170532,-0.02440381,-0.93776494,-0.19850585,0.9335275,-0.21024194,-0.08272463,-0.7026515,-2.055901,-2.6390893,10.915077,-6.4090548,-6.743005,-2.6089494,1.1757824,-0.6775484,0.9760143,0.5770049,-1.5484105,-0.21588165,4.2010703,-1.2256991,2.1034882,2.0357366,-0.3932976,-0.23803419,-0.7237109,0.5792406,-0.6976324,-1.784153,1.4601356,-0.0747654,0.5029821,0.00089317653,-0.46429938,1.481682,0.6974323,-0.35120007,-1.4297009,-0.4331092,0.3794909,0.16653356,-0.9276192,0.27317402,-0.053079844,-1.1305237,-0.27232453,0.7112787,0.63842314,1.1286972,-0.53205043,0.28525105,0.27420786,0.0054529626,-1.0589002,-0.24334636,-0.66961,-0.40278032,-0.0013939956,-0.58144414,-0.6924733,-41.714413,38.46984
-0.14292437,0.63370025,-0.116959155,0.48385477,-0.43382517,0.16181982,-0.6673713,-0.3206026,-1.7102389,1.1512942,-0.61898756,4.224387,-8.482593,17.164843,-4.624146,1.0723096,-4.102774,0.89543515,0.88135654,1.729814,-0.45982102,-1.2777992,1.9877157,-1.686901,1.4777485,-0.92140955,-0.23293729,0.4713955,0.9594448,0.117628284,1.105813,-1.5105126,0.54730976,-0.041469384,-0.6872047,-0.100886546,1.6309673,-2.4114702,1.4505311,-0.19731979,-1.3640057,-1.9551063,0.912494,0.36827016,-0.17347112,-1.0377567,0.15634602,-0.0022850102,-0.45698658,-0.22351085,1.1129742,-0.8856931,0.26259458,1.2219863,-0.6480242,0.9351329,-0.100171976,0.29467627,-0.82035804,-0.36422735,1.057455,0.4279466,53.479256,52.248116
-0.13929182,0.74590003,-0.035987973,0.48040998,-0.31837213,0.16161186,-0.7422288,-0.27505952,-1.6667011,1.1129063,-0.8060155,4.1297665,-8.499314,17.124388,-4.590195,1.0695895,-4.251403,0.99400485,0.88437665,1.7755369,-0.4743037,-1.3848127,1.9902602,-1.723224,1.3589114,-0.82026494,-0.29803905,0.36561993,1.0040188,0.099044725,1.0794239,-1.5638855,0.5371107,-0.09643927,-0.6478906,-0.09313963,1.6392002,-2.4177616,1.438291,-0.20631067,-1.3859364,-1.9495811,0.90831816,0.33078966,-0.23814008,-0.9815746,0.12296245,0.0026868558,-0.3492516,-0.20528114,1.2564394,-0.98412097,0.19187964,1.2164967,-0.6085515,0.8290989,0.008712656,0.2606041,-1.069647,-0.22360119,1.1003418,0.38458943,53.480583,52.247284
0.66117215,-0.4612576,-0.3019718,-0.8536392,0.4997332,0.49497753,0.12509914,-0.69781667,-0.30562592,-1.9169663,-3.5730453,11.802199,-6.6143804,-8.013687,-1.8601528,0.10097149,-0.03594791,1.8651175,-0.6757725,-2.250497,0.90051895,3.2326908,-0.43087143,-0.049336363,1.4304323,-0.29808307,-0.09992835,-0.40448543,2.0997107,-0.1603293,-1.381134,0.43105164,0.06420943,1.3478824,0.5658194,-0.4905565,0.48194614,-0.6274241,-0.18369517,-1.5846292,1.6617737,0.70708215,0.23188703,-0.73658997,-0.36228195,-1.4395993,0.7828275,0.68041897,-0.108110204,-0.85542536,-0.4379257,-0.4389732,0.19313237,0.49383658,-0.017016813,-0.14640352,0.15529193,0.106246725,0.18199034,-0.58359754,0.61605334,-0.15570438,-44.392353,34.990242
0.75442713,-0.42697513,-0.33537364,-0.8269139,0.56273544,0.42128265,0.15157889,-0.77948385,-0.2732604,-1.8769339,-3.5924425,12.016219,-6.6641717,-7.920319,-1.7318352,0.012853063,-0.005325359,1.8491147,-0.70502937,-2.2316904,0.93591076,3.2042785,-0.37709084,-0.012640846,1.4657232,-0.36023733,0.007866172,-0.3905582,2.024154,-0.12014469,-1.4013346,0.5275074,0.123707056,1.4244206,0.45522532,-0.66361475,0.46911913,-0.8148221,-0.09077722,-1.510071,1.6555378,0.6891524,0.21039928,-0.8285,-0.2435662,-1.5933155,0.7152662,0.60619205,0.0019725575,-0.8541645,-0.29080603,-0.35132834,0.20556775,0.47323412,0.013640035,-0.2625844,-0.013971255,0.07110411,0.1119751,-0.6901509,0.45624724,-0.31034222,-44.398308,34.995426
0.08505151,-0.31487763,-0.23521054,-1.1849413,1.0533633,0.8133268,-0.10528228,-0.33923,0.58172745,-2.2685013,-3.587859,11.303753,-6.667743,-9.701586,-2.9802785,0.0804547,-0.09009032,0.7437148,-0.79328096,-1.0478048,-0.3556647,2.370758,0.120529525,-0.9075059,1.2869704,-0.49319085,-0.2145734,0.48482662,1.1808047,-0.4394805,-0.54370517,0.09686005,0.035621714,1.779968,1.5220164,-0.15021439,-0.94819105,0.1659936,-0.7375486,-1.1587024,0.67295146,0.48598173,-0.57770175,0.4509765,-0.8123733,-0.27580902,0.3055401,-0.795091,-0.5608184,-0.23299609,-0.40516207,0.39318383,-0.16376294,0.5756039,0.18150288,-0.39848888,-0.14317687,-0.05568399,-1.2385811,-0.39311123,1.2226944,0.7629652,-34.6756,31.532001
0.10588041,-0.39849833,-0.28821373,-1.1853272,0.99259067,0.6421098,-0.18793142,-0.3803299,0.6166503,-2.2902424,-3.502528,11.325974,-6.630728,-9.878563,-2.8429608,0.15405358,-0.14586963,0.68255216,-0.72609913,-1.1202632,-0.2226573,2.510655,0.08711961,-0.8984532,1.329841,-0.41478857,-0.27207905,0.70704204,1.2027593,-0.42398113,-0.52964073,0.030368568,0.028632592,1.8326705,1.6376709,-0.11908524,-0.936783,0.2808233,-0.5840752,-1.2105664,0.60445565,0.4396766,-0.51614004,0.5340003,-0.76028615,-0.45277244,0.15904705,-0.6156204,-0.72105455,-0.33088514,-0.1410246,0.40122625,0.022478227,0.65464425,-0.07657367,-0.45899826,-0.13381955,0.0055247173,-1.2814114,-0.48598462,1.0717,0.95625085,-34.67573,31.54153
-0.2553528,-0.9948891,-1.0299393,0.6980368,-1.2249839,1.9951668,0.5759765,0.63450027,-2.0434625,-1.7397585,3.3580399,4.3376575,-3.197217,1.4933566,4.9015226,-0.20508079,1.866918,4.951765,7.1773334,-6.6463375,7.3869963,0.59323394,-3.1587791,-0.18284735,-1.2732184,-2.3758428,0.42932576,0.12261788,0.31632158,-0.28595808,-0.39082798,1.2100724,1.4596783,-1.559951,-0.2986462,-1.0012019,0.25949803,3.129234,1.3219479,-0.9607409,1.2763734,1.8751554,-1.5429968,-0.84029365,0.06352774,1.1832906,-2.7548344,0.21337287,0.93363273,0.94161415,-1.7195852,0.99236166,-0.96437776,-1.0523503,0.5545228,-1.1516085,-0.1428351,-0.91642374,0.4356554,-1.7254401,-1.807925,0.6866571,0.10080337,105.61236
-0.231202,-1.0318742,-1.0338953,0.670792,-1.1694367,2.020337,0.58853745,0.60537565,-2.0517032,-1.7406248,3.3294613,4.2456946,-3.0174725,1.4788808,4.813124,-0.22522525,1.909587,4.9052253,7.2666993,-6.6926336,7.5655575,0.7962842,-3.1480737,-0.414506,-1.1841165,-2.5504594,0.3103565,0.0050233738,0.33239943,-0.44407076,-0.3124472,1.023371,1.3560807,-1.5182834,-0.11945113,-1.0817379,0.24877554,3.2718441,1.4140629,-0.8097381,1.4188145,2.1228127,-1.5407076,-0.7939837,0.02357834,1.0103108,-2.786099,0.48088908,0.7547466,0.9259852,-1.9721981,0.86131275,-1.0509207,-0.8544865,0.8024037,-1.0603044,-0.12144539,-1.0897307,0.35238457,-1.753103,-1.7925419,1.0562215,0.11175849,105.62011
