,n_counts,_scvi_batch,_scvi_labels,_scvi_local_l_mean,_scvi_local_l_var,cell_type,subtissue,sex
SRR6531706,78753.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531707,76079.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531708,252349.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531709,239495.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531710,290383.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531711,273153.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531712,390623.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531713,349857.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531714,330271.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531716,312183.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531717,203325.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531718,191639.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531719,341181.0,0,0,10.968420028686523,1.2601511478424072,endothelial cell,Cortex,F
SRR6531720,321537.0,0,0,10.968420028686523,1.2601511478424072,endothelial cell,Cortex,F
SRR6531721,186991.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531722,178769.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531723,197225.0,0,0,10.968420028686523,1.2601511478424072,endothelial cell,Cortex,F
SRR6531724,185926.0,0,0,10.968420028686523,1.2601511478424072,endothelial cell,Cortex,F
SRR6531725,31823.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531727,30085.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531728,520059.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531729,489857.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531730,162556.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531731,154698.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531732,67946.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531733,63978.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531734,131730.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531735,127153.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531736,196656.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531738,183310.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531739,89086.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531740,80591.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531741,893100.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531742,803052.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531743,136944.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531744,127544.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531745,13504.0,0,0,10.968420028686523,1.2601511478424072,unknown,unknown,unknown
