GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Sgip1_4	6838	2944	6.950e-01	-7.421e+00	4.702e+00	4.804e+00	2.625e+01	4.281e-13	1.234e-11
Sgip1_5	5711	3936	7.075e-01	4.827e+00	3.450e+00	1.030e+00	1.083e+00	1.412e-01	2.488e-01
Sgip1_7	9016	2353	6.577e-01	3.844e+00	3.300e+00	-1.456e+00	1.921e+00	4.999e-02	1.146e-01
Sh2b1_1	24564	1020	7.137e-01	-5.821e+00	4.367e+00	-2.054e+00	2.602e+00	2.255e-02	6.063e-02
Sh2b1_2	23625	645	7.116e-01	-5.959e+00	4.591e+00	-2.046e+00	3.197e+00	1.145e-02	3.446e-02
Sh3glb2_1	6609	511	8.257e-01	-3.206e-01	2.735e+00	2.509e+00	1.072e+01	3.637e-06	3.813e-05
Sh3glb2_2	7712	1614	8.278e-01	-7.912e-01	2.955e+00	2.966e+00	2.234e+01	2.316e-11	5.342e-10
Sh3kbp1_1	8375	1169	5.892e-01	-7.920e+00	3.120e+00	1.088e+00	1.651e+00	6.919e-02	1.459e-01
Sh3kbp1_5	13172	3803	6.183e-01	4.056e+00	3.554e+00	1.042e+00	1.869e+00	5.318e-02	1.192e-01
Shank3_3	12871	1034	6.556e-01	5.519e+00	2.843e+00	-1.664e+00	2.618e+00	2.212e-02	5.979e-02
Sharpin_1	23596	5825	6.950e-01	4.884e+00	3.435e+00	2.791e+00	7.298e+00	1.332e-04	8.864e-04
Shd_2	56969	14584	8.651e-01	8.741e+00	2.509e+00	-1.943e+00	4.793e+00	1.961e-03	8.445e-03
Shmt2_1	9008	1974	3.942e-01	6.608e+00	3.861e+00	-3.367e+00	6.738e+00	2.417e-04	1.459e-03
Sidt2_2	4788	1157	4.481e-01	-7.135e+00	3.544e+00	1.524e+00	1.820e+00	5.639e-02	1.243e-01
Sirt2_2	3462	1455	6.183e-01	-1.277e-01	3.732e+00	1.644e-02	-3.655e-01	1.000e+00	1.000e+00
Slc15a4_4	5089	1950	2.780e-01	5.762e+00	3.238e+00	2.187e+00	1.787e+00	5.870e-02	1.278e-01
Slc15a4_5	4425	1286	2.739e-01	4.937e+00	3.126e+00	2.977e+00	2.300e+00	3.199e-02	8.027e-02
Slc23a2_1	3215	1198	3.506e-01	2.871e+00	3.468e+00	1.820e+00	3.037e+00	1.371e-02	3.976e-02
Slc25a19_2	5007	2330	4.066e-01	5.634e+00	3.257e+00	-2.845e-01	2.332e-01	4.947e-01	6.492e-01
Slc25a19_9	3228	1072	3.797e-01	-5.441e+00	5.677e+00	2.762e+00	3.271e+00	1.054e-02	3.265e-02
Slc25a1_2	50251	17924	9.129e-01	6.134e+00	2.741e+00	1.267e-01	-9.297e-01	1.000e+00	1.000e+00
Slc25a25_1	6580	1426	5.539e-01	3.751e+00	3.121e+00	2.716e+00	6.066e+00	4.956e-04	2.693e-03
Slc25a33_1	12370	3013	4.087e-01	7.075e+00	3.873e+00	4.745e-01	-7.432e-01	1.000e+00	1.000e+00
Slc25a44_1	68456	3353	7.220e-01	1.836e+00	3.943e+00	1.161e+00	3.132e+00	1.232e-02	3.644e-02
Slc2a8_1	7096	2424	3.112e-01	4.762e+00	5.318e+00	-3.617e-01	3.867e-01	3.792e-01	5.248e-01
Slc2a8_2	10002	2206	3.299e-01	5.178e+00	5.026e+00	1.414e+00	5.508e-01	2.939e-01	4.208e-01
Slc30a9_1	12646	3236	7.842e-01	1.161e+00	3.621e+00	8.261e-01	1.404e+00	9.376e-02	1.809e-01
Slc30a9_2	11621	2211	7.842e-01	1.926e-01	3.064e+00	7.933e-01	2.583e+00	2.302e-02	6.143e-02
Slc35a3_2	5263	2152	3.050e-01	6.889e+00	4.384e+00	-2.990e-01	-8.582e-01	1.000e+00	1.000e+00
Slc35b4_nmdSE_1	2488	670	3.278e-01	-7.704e+00	4.482e+00	3.505e-01	-2.480e-01	1.000e+00	1.000e+00
Slc37a3_7	2500	415	5.062e-01	-6.308e+00	3.411e+00	1.552e+00	2.315e+00	3.142e-02	7.953e-02
Slc37a3_8	2498	413	5.062e-01	-4.967e+00	3.875e+00	-1.463e-01	1.411e-01	5.952e-01	7.553e-01
Slc37a3_12	6615	3370	5.581e-01	4.418e+00	4.472e+00	-1.647e+00	3.490e+00	8.240e-03	2.736e-02
Slc37a3_14	2433	348	5.062e-01	-5.311e+00	2.923e+00	1.027e-01	1.226e-01	6.205e-01	7.789e-01
Slc38a10_11	12614	4743	7.386e-01	2.382e+00	4.672e+00	2.018e+00	4.393e+00	3.037e-03	1.212e-02
Slc38a10_15	10434	1636	7.178e-01	1.017e+00	1.322e+00	-6.426e-01	3.236e+00	1.096e-02	3.327e-02
Slc38a10_17	13113	3553	7.427e-01	2.773e+00	4.331e+00	1.529e+00	3.246e+00	1.084e-02	3.325e-02
Slc38a2_1	16285	9139	8.631e-01	5.269e+00	2.338e+00	3.904e-01	-8.887e-01	1.000e+00	1.000e+00
Slc39a11_3	3952	651	3.859e-01	5.783e+00	3.282e+00	-1.481e+00	6.816e-01	2.430e-01	3.626e-01
Slc39a3_1	8600	1730	6.286e-01	5.918e+00	2.496e+00	-1.112e+00	1.647e+00	6.949e-02	1.460e-01
Slc39a9_2	3428	1448	3.361e-01	5.968e+00	3.462e+00	8.406e-01	3.877e-01	3.786e-01	5.246e-01
Slc4a10_1	8548	116	3.734e-01	-1.504e+00	3.551e+00	-2.063e-01	1.560e-01	5.764e-01	7.360e-01
Slc4a10_2	2921	998	3.299e-01	1.280e-01	3.723e+00	3.958e+00	4.524e+00	2.631e-03	1.095e-02
Slc4a1ap_5	3217	886	2.863e-01	-2.795e+00	6.541e+00	5.248e-01	1.228e-01	6.202e-01	7.789e-01
Slc6a6_3	14335	7165	6.784e-01	4.567e+00	2.208e+00	6.274e-01	1.404e+00	9.376e-02	1.809e-01
Slc7a3_2	9087	838	2.863e-01	-1.724e+00	2.960e+00	-2.227e+00	5.786e-01	2.820e-01	4.089e-01
Slc9a3r2_1	17010	1814	4.564e-01	3.138e+00	4.912e+00	7.572e-01	-4.946e-01	1.000e+00	1.000e+00
Slit2_4	4583	506	4.398e-01	-1.830e+00	3.132e+00	-1.820e+00	3.914e+00	5.142e-03	1.913e-02
Sltm_2	5873	2558	5.166e-01	2.540e+00	4.331e+00	3.193e+00	5.056e+00	1.473e-03	6.705e-03
Sltm_3	11553	10052	6.017e-01	4.889e+00	3.733e+00	1.505e-02	7.583e-01	2.181e-01	3.359e-01
Slu7_2	5064	1038	5.809e-01	-3.134e+00	4.227e+00	2.017e+00	3.500e+00	8.149e-03	2.720e-02
Smad2_1	8880	1684	5.166e-01	1.528e-01	6.032e+00	-2.117e+00	2.940e+00	1.531e-02	4.365e-02
Smarca2_7	8365	800	7.967e-01	-2.402e+00	2.423e+00	5.943e-02	2.688e-01	4.634e-01	6.207e-01
Smarca2_9	11291	2304	8.133e-01	-4.252e+00	2.925e+00	-8.575e-01	8.579e-01	1.902e-01	3.076e-01
Smarca4_2	15609	2337	8.714e-01	-6.419e+00	2.965e+00	1.928e+00	9.225e+00	1.745e-05	1.425e-04
Smarcad1_nmdSE_1	11729	3140	6.369e-01	-3.082e+00	5.287e+00	-4.751e+00	1.697e+01	5.688e-09	1.018e-07
Smarcc2_3	18448	5428	9.315e-01	1.022e+00	2.537e+00	2.162e+00	2.344e+01	7.529e-12	1.906e-10
Smarce1_1	18378	1746	9.378e-01	3.083e+00	3.045e+00	-1.075e+00	1.920e+00	5.005e-02	1.146e-01
Smarce1_2	15263	3565	9.440e-01	1.783e+00	2.094e+00	-2.236e-01	-4.512e-01	1.000e+00	1.000e+00
Smarce1_9	19776	3144	9.461e-01	4.889e+00	2.397e+00	-1.996e+00	1.057e+01	4.263e-06	4.426e-05
Smg9_1	5758	2555	4.461e-01	5.870e+00	3.815e+00	7.548e-01	-2.028e+00	1.000e+00	1.000e+00
Smim20_nmdSE_1	6448	1808	4.876e-01	-7.941e+00	3.722e+00	1.108e+00	-6.104e-02	1.000e+00	1.000e+00
Snapc3_3	15952	5046	7.407e-01	2.512e+00	2.591e+00	2.564e-01	1.699e-01	5.599e-01	7.223e-01
Snapin_1	9062	2515	6.618e-01	4.499e+00	2.606e+00	8.613e-01	9.585e-01	1.662e-01	2.773e-01
Snf8_3	11754	2799	5.851e-01	4.044e+00	3.838e+00	1.482e+00	1.221e+00	1.182e-01	2.171e-01
Snhg11_nmdSE_1	113318	17833	7.220e-01	-2.759e+00	1.722e+00	-4.410e-01	1.797e+00	5.800e-02	1.270e-01
Snhg11_nmdSE_2	113302	17817	7.220e-01	-2.678e+00	1.753e+00	-4.583e-01	1.953e+00	4.811e-02	1.120e-01
Snph_2	2658	828	2.510e-01	-1.979e+00	4.783e+00	1.510e+00	9.650e-01	1.648e-01	2.759e-01
Snrk_1	11314	847	7.116e-01	-4.066e-02	2.448e+00	-1.692e-01	-2.578e-01	1.000e+00	1.000e+00
Snrk_7	12899	1086	7.116e-01	-7.362e+00	3.966e+00	8.331e-01	-5.615e-01	1.000e+00	1.000e+00
Snrnp70_1	21365	2865	9.461e-01	-5.243e+00	3.070e+00	-1.249e-01	8.379e-01	1.955e-01	3.127e-01
Snrnp70_nmdSE_1	26487	4606	9.253e-01	-4.068e+00	2.687e+00	-8.818e-01	3.356e+00	9.572e-03	3.057e-02
Snrpa1_2	13758	4785	6.929e-01	5.489e+00	3.466e+00	2.231e-01	-6.621e-01	1.000e+00	1.000e+00
Snrpb_nmdSE_1	39584	7999	9.378e-01	-7.123e+00	3.606e+00	1.421e+00	4.941e+00	1.668e-03	7.369e-03
Snupn_2	5734	2534	3.444e-01	7.955e+00	3.659e+00	-1.236e+00	7.439e-01	2.226e-01	3.392e-01
Snx11_1	3503	1144	4.896e-01	-3.074e+00	4.958e+00	-3.677e-01	8.906e-01	1.820e-01	2.970e-01
Snx16_1	26038	6140	6.411e-01	2.976e+00	4.551e+00	2.753e+00	7.596e+00	9.714e-05	6.678e-04
Snx16_2	11790	3767	5.768e-01	5.202e+00	3.483e+00	2.060e+00	4.312e+00	3.318e-03	1.314e-02
Snx19_3	2205	999	3.112e-01	1.850e+00	4.737e+00	3.087e+00	3.614e+00	7.174e-03	2.474e-02
Snx8_1	5144	1508	3.900e-01	5.303e+00	4.996e+00	-1.456e+00	-9.319e-01	1.000e+00	1.000e+00
Sobp_8	16691	2682	5.581e-01	3.263e+00	5.482e+00	1.886e+00	1.035e+00	1.502e-01	2.594e-01
Sorbs1_6	6138	1128	4.938e-01	-3.221e+00	4.854e+00	9.368e-01	2.077e+00	4.154e-02	9.913e-02
Sorbs1_11	2475	830	3.880e-01	1.921e-01	5.033e+00	1.003e-01	7.999e-01	2.059e-01	3.244e-01
Sorbs1_13	1914	985	3.589e-01	-4.195e+00	4.260e+00	6.374e+00	2.552e+01	9.058e-13	2.474e-11
Sorbs2_9	20313	822	8.382e-01	-7.832e+00	3.876e+00	7.576e-01	-3.105e-01	1.000e+00	1.000e+00
Sorbs2_12	11125	3687	7.614e-01	-1.008e+00	2.880e+00	-5.397e-01	6.631e-01	2.495e-01	3.689e-01
Sorbs2_14	9760	2322	7.510e-01	-1.024e+00	3.399e+00	-2.316e+00	1.166e+01	1.377e-06	1.662e-05
Sorbs2_15	11652	7425	8.257e-01	6.470e+00	2.979e+00	-2.603e+00	1.077e+01	3.453e-06	3.657e-05
Sorbs2_16	8068	1751	7.386e-01	1.539e+00	4.545e+00	-3.094e+00	1.177e+01	1.221e-06	1.509e-05
Sorbs2_17	4149	727	5.311e-01	-5.810e+00	4.738e+00	-7.913e-02	1.697e-01	5.602e-01	7.223e-01
Sorbs2_18	19981	7260	7.842e-01	3.548e+00	4.305e+00	-7.065e-01	1.377e+00	9.702e-02	1.858e-01
Spag9_6	9800	1999	7.365e-01	-6.506e+00	2.207e+00	2.457e+00	1.238e+01	6.497e-07	8.646e-06
Spag9_10	9791	1990	7.365e-01	-5.987e+00	2.731e+00	-1.504e+00	2.344e+00	3.037e-02	7.744e-02
Spag9_12	5686	639	6.017e-01	-6.680e+00	1.436e+00	1.418e+00	1.619e+00	7.194e-02	1.493e-01
Spata7_1	2751	1418	3.402e-01	5.955e+00	5.166e+00	-2.790e+00	2.422e+00	2.776e-02	7.203e-02
Spg7_6	8997	4223	4.689e-01	5.864e+00	3.796e+00	6.856e-01	-9.077e-01	1.000e+00	1.000e+00
Spg7_10	7248	996	4.440e-01	-6.560e+00	3.759e+00	-4.805e-01	8.342e-01	1.965e-01	3.137e-01
Sphkap_1	1802	528	2.573e-01	-1.816e+00	3.434e+00	4.724e+00	1.830e+00	5.573e-02	1.231e-01
Spin2c_1	5556	1000	2.697e-01	3.774e+00	2.632e+00	-1.221e+00	5.852e-01	2.793e-01	4.071e-01
Spint2_nmdSE_1	12980	4596	7.054e-01	-4.043e+00	3.038e+00	1.094e+00	3.084e+00	1.301e-02	3.814e-02
Spock1_2	1695	278	2.718e-01	1.097e+00	2.989e+00	-1.226e+00	7.883e-01	2.092e-01	3.279e-01
Spon1_1	11341	4420	3.963e-01	3.565e+00	2.002e+00	4.553e-01	5.908e-01	2.770e-01	4.044e-01
Sppl2b_2	7424	3471	5.249e-01	6.654e+00	3.727e+00	-1.800e+00	2.689e+00	2.038e-02	5.567e-02
Sptan1_6	11478	2684	8.568e-01	2.517e+00	2.424e+00	4.112e-01	2.236e-01	5.036e-01	6.584e-01
Src_3	4077	561	5.353e-01	4.849e+00	3.010e+00	-2.046e+00	3.239e+00	1.093e-02	3.326e-02
Srcap_3	12246	2171	6.618e-01	-1.047e+00	2.755e+00	1.416e+00	6.440e+00	3.320e-04	1.936e-03
Srcap_6	6946	1138	5.270e-01	-6.640e+00	4.398e+00	1.764e+00	2.312e+00	3.154e-02	7.965e-02
Srek1_3	9277	1765	6.577e-01	-3.950e+00	4.942e+00	-4.204e-01	8.213e-01	2.000e-01	3.178e-01
Srp19_3	19265	6920	7.842e-01	4.518e+00	3.720e+00	2.931e+00	1.160e+01	1.467e-06	1.750e-05
Srpk2_8	8247	1312	8.299e-01	-7.775e-01	2.156e+00	2.313e-01	1.590e+00	7.451e-02	1.533e-01
Srr_6	6170	3078	4.274e-01	5.482e+00	3.952e+00	-1.608e+00	2.944e-01	4.429e-01	5.978e-01
Srrm2_nmdSE_1	8314	1560	5.768e-01	-6.769e+00	4.230e+00	1.159e+00	1.650e+00	6.929e-02	1.459e-01
Srsf10_nmdSE_1	18352	7113	8.817e-01	-3.801e+00	3.620e+00	1.814e+00	9.667e+00	1.097e-05	9.905e-05
Srsf11_nmdSE_2	25187	5010	9.315e-01	-2.762e+00	2.971e+00	9.444e-02	-1.623e+00	1.000e+00	1.000e+00
Srsf11_7	18029	1413	9.232e-01	-2.724e+00	3.646e+00	8.943e-01	1.073e+00	1.430e-01	2.507e-01
Srsf2_1	199459	5733	9.938e-01	-4.751e+00	2.606e+00	2.115e+00	2.615e+01	4.781e-13	1.341e-11
Srsf3_nmdSE_1	82339	35697	9.876e-01	-1.704e+00	2.313e+00	-1.082e+00	1.166e+01	1.377e-06	1.662e-05
Srsf6_1	40351	8802	9.274e-01	-3.995e+00	4.218e+00	1.030e+00	1.559e+00	7.747e-02	1.577e-01
Srsf6_nmdSE_1	44288	12739	9.274e-01	-4.192e+00	4.743e+00	1.138e+00	1.496e+00	8.367e-02	1.673e-01
Srsf7_3	161474	8415	9.793e-01	2.737e+00	2.292e+00	-6.345e-01	2.809e+00	1.779e-02	5.003e-02
Srsf7_nmdSE_1	67404	30162	9.730e-01	-1.284e+00	2.635e+00	9.802e-01	8.410e+00	4.109e-05	3.047e-04
Srsf9_2	12602	1468	5.373e-01	-5.585e+00	4.157e+00	2.207e+00	4.052e+00	4.416e-03	1.691e-02
Srsf9_nmdSE_1	10071	2091	5.249e-01	-7.623e+00	5.011e+00	4.724e+00	1.517e+01	3.644e-08	5.820e-07
