mgi_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches
Col15a1,962.0,True,2660.0,1.9652777777777777,327.1277100271003,0.6651637452810905,1
Nr4a3,13540.0,True,1419.5,27.96527777777778,6545.824574138598,0.9479183611640031,2
Kif12,4343.0,True,1933.0,5.993055555555555,2951.9651084010834,1.3308680592615765,4
Zfp618,133159.0,True,2489.0,29.62847222222222,5058.3109635114215,1.116466006116778,3
Slc44a5,53597.0,True,1241.5,13.881944444444445,2911.414585753,1.3417598057405746,4
Svep1,7781.0,True,2056.0,5.138888888888889,1011.8482384823849,0.8652949327531368,3
Pappa,25171.0,True,1473.5,39.517361111111114,10533.142554684475,1.362977785555021,4
Astn2,15064.0,True,2692.5,14.440972222222221,2082.9860506194345,1.0776201311012243,2
Zfp37,115229.0,True,2595.0,78.79166666666667,18320.674216027874,1.2807658552406267,5
Wdr31,36539.0,True,801.0,24.125,5977.141114982578,1.2955813442057995,3
Alad,126273.0,True,1365.0,97.45833333333333,13504.632404181186,1.1586014770298398,3
Pole3,140862.0,True,1481.0,96.46527777777777,18146.793215253583,1.0470770603383153,1
Kdm4c,67711.0,True,1727.0,56.770833333333336,13234.379355400697,1.4272072356804564,5
Ptprd,146563.0,True,1593.5,79.78472222222223,17235.382065427795,1.5824146137909596,6
Mpdz,54103.0,True,1991.0,73.98611111111111,12505.093883081687,1.2053375700576803,3
B4galt1,76309.0,True,77.0,47.66319444444444,23495.617874080526,2.274077840629158,5
Fktn,92876.0,True,1664.5,95.15972222222223,23631.047570654275,1.4766194422362078,6
Kif24,3321.0,True,2287.0,1.4270833333333333,85.37445557491289,1.0447110757339242,3
Enho,79162.0,True,1765.0,43.420138888888886,9509.673042489354,0.8496727384023502,1
Fancg,34974.0,True,1520.0,32.375,6322.904181184668,1.4294826038720185,5
Pigo,91712.0,True,2557.0,46.0625,8484.7068815331,1.3500438139422617,5
Unc13b,121902.0,True,1530.5,32.87847222222222,6994.253472222223,1.3831506732071996,4
Tln1,81624.0,True,2171.5,54.145833333333336,3773.3375435540065,0.9845134220816963,2
Gba2,230278.0,True,2425.0,218.82986111111111,52170.41346060782,1.3377074671932119,5
Rgp1,126024.0,True,2618.0,83.64583333333333,17547.330574912892,1.2789415014183956,5
Reck,27145.0,True,1915.0,11.586805555555555,1571.3304176345334,1.3397001774049846,4
Gne,119828.0,True,1592.5,136.35069444444446,35855.23895421989,1.569430340558391,6
Glipr2,71251.0,True,2062.5,11.027777777777779,1688.9608981804101,1.5555795406721806,6
Snapc3,165461.0,True,1556.0,92.27083333333333,13739.90548780488,0.8755502002243974,1
Bnc2,65414.0,True,404.0,23.385416666666668,6888.54431620209,1.8898630501148401,5
Plin2,72272.0,True,1878.0,57.145833333333336,14718.292247386758,1.141462009509169,2
Usp24,47182.0,True,2672.0,41.364583333333336,6125.925849303135,1.0995739961864641,2
Prkaa2,96443.0,True,1929.0,59.447916666666664,10934.011215156794,1.3000762406320316,5
Dab1,131380.0,True,1114.0,36.25,6390.404181184668,1.7823141960629367,6
Slc35d1,15250.0,True,1263.5,13.725694444444445,3518.708466415021,1.3156729388139494,4
Mier1,43681.0,True,2356.0,30.694444444444443,4538.47077042199,1.2391133855043555,4
Pde4b,116730.0,True,2584.0,117.65625,24138.303027003487,1.358953792128361,5
Ak4,19736.0,True,2348.0,28.24652777777778,4348.785702187379,1.062628739764758,1
Dnajc6,658637.0,True,1598.0,715.6875,294489.02743902436,1.073089375708597,1
Jak1,270462.0,True,2097.0,240.23958333333334,75259.22114547038,1.4243525308332063,5
Cachd1,117889.0,True,2617.0,65.42013888888889,14214.397781165311,1.2598483496278496,5
Dph2,54306.0,True,1936.0,51.135416666666664,10797.204594947734,1.2823053962705082,4
Ttc39a,15093.0,True,2444.0,30.24652777777778,4717.712531455671,1.1306064816880574,2
Nfia,94068.0,True,764.0,63.72569444444444,13197.900104045684,1.5876987668637532,5
Pdpn,14842.0,True,617.0,22.90625,3271.339612369338,1.376073496444561,3
Lrrc38,2222.0,True,1377.0,2.8680555555555554,440.2264324428958,1.07563218222871,1
1700012P22Rik,756.0,True,2118.0,0.4201388888888889,21.6591052071235,0.7194435117694837,1
Tnfrsf1b,4429.0,True,1625.0,5.635416666666667,1507.946755226481,1.2933235850467055,2
