cellID	neuro
SRR7408612	0
SRR7408613	0
SRR7408614	0
SRR7408615	0
SRR7408616	0
SRR7408617	0
SRR7408618	0
SRR7408619	0
SRR7408620	0
SRR7408621	0
SRR7408622	0
SRR7408623	0
SRR7408624	0
SRR7408625	0
SRR7408626	0
SRR7408627	0
SRR7408628	0
SRR7408629	0
SRR7408630	0
SRR7408632	0
SRR7408633	0
SRR7408634	0
SRR7408635	0
SRR7408636	0
SRR7408637	0
SRR7408639	0
SRR7408640	0
SRR7408641	0
SRR7408642	0
SRR7408643	0
SRR7408644	0
SRR7408645	0
SRR7408646	0
SRR7408647	0
SRR7408648	0
SRR7408649	0
SRR7408650	0
SRR7408651	0
SRR7408652	0
SRR7408653	0
SRR7408654	0
SRR7408655	0
SRR7408656	0
SRR7408657	0
SRR7408658	0
SRR7408659	0
SRR7408660	0
SRR7408661	0
SRR7408662	0
SRR7408663	0
SRR7408664	0
SRR7408665	0
SRR7408666	0
SRR7408667	0
SRR7408668	0
SRR7408669	0
SRR7408670	0
SRR7408671	0
SRR7408672	0
SRR7408673	0
SRR7408674	0
SRR7408675	0
SRR7408676	0
SRR7408677	0
SRR7408679	0
SRR7408680	0
SRR7408681	0
SRR7408682	0
SRR7408684	0
SRR7408685	0
SRR7408686	0
SRR7408687	0
SRR7408688	0
SRR7408690	0
SRR7408691	0
SRR7408692	0
SRR7408693	0
SRR7408694	0
SRR7408695	0
SRR7408696	0
SRR7408697	0
SRR7408698	0
SRR7408699	0
SRR7408700	0
SRR7408701	0
SRR7408702	0
SRR7408703	0
SRR7408704	0
SRR7408705	0
SRR7408706	0
SRR7408707	0
SRR7408708	0
SRR7408709	0
SRR7408710	0
SRR7408711	0
SRR7408712	0
SRR7408713	0
SRR7408714	0
SRR7408715	0
SRR7408716	0
SRR7408717	0
SRR7408718	0
SRR7408719	0
SRR7408720	0
SRR7408721	0
SRR7408722	0
SRR7408723	0
SRR7408724	0
SRR7408725	0
SRR7408726	0
SRR7408727	0
SRR7408728	0
SRR7408729	0
SRR7408730	0
SRR7408731	1
SRR7408732	1
SRR7408733	1
SRR7408734	1
SRR7408735	1
SRR7408736	1
SRR7408737	1
SRR7408738	1
SRR7408739	1
SRR7408740	1
SRR7408741	1
SRR7408742	1
SRR7408743	1
SRR7408745	1
SRR7408746	1
SRR7408747	1
SRR7408748	1
SRR7408749	1
SRR7408750	1
SRR7408751	1
SRR7408752	1
SRR7408753	1
SRR7408754	1
SRR7408755	1
SRR7408756	1
SRR7408757	1
SRR7408759	1
SRR7408760	1
SRR7408761	1
SRR7408762	1
SRR7408763	1
SRR7408764	1
SRR7408765	1
SRR7408766	1
SRR7408768	1
SRR7408769	1
SRR7408770	1
SRR7408771	1
SRR7408772	1
SRR7408773	1
SRR7408774	1
SRR7408775	1
SRR7408776	1
SRR7408778	1
SRR7408779	1
SRR7408780	1
SRR7408781	1
SRR7408782	1
SRR7408783	1
SRR7408784	1
SRR7408785	1
SRR7408787	1
SRR7408788	1
SRR7408789	1
SRR7408790	1
SRR7408791	1
SRR7408792	1
SRR7408793	1
SRR7408795	1
SRR7408796	1
SRR7408797	1
SRR7408798	1
SRR7408801	1
SRR7408803	1
SRR7408804	1
SRR7408808	1
SRR7408809	1
SRR7408811	1
SRR7408812	1
SRR7408813	1
SRR7408814	1
SRR7408815	1
SRR7408817	1
SRR7408818	1
SRR7408819	1
SRR7408821	1
SRR7408822	1
SRR7408823	1
SRR7408824	1
SRR7408825	1
SRR7408826	1
SRR7408827	1
SRR7408828	1
SRR7408829	1
SRR7408830	1
SRR7408831	1
SRR7408833	1
SRR7408834	1
SRR7408835	1
SRR7408836	1
SRR7408837	1
SRR7408838	1
SRR7408839	1
SRR7408840	1
SRR7408841	1
SRR7408842	1
SRR7408843	1
SRR7408844	1
SRR7408846	1
SRR7408847	1
SRR7408848	1
SRR7408849	1
SRR7408850	1
SRR7408852	1
SRR7408853	1
SRR7408854	1
SRR7408855	1
SRR7408856	1
SRR7408857	1
SRR7408858	1
SRR7408859	1
SRR7408860	1
SRR7408861	1
SRR7408862	1
SRR7408863	1
SRR7408864	1
SRR7408865	1
SRR7408866	1
SRR7408867	1
SRR7408868	1
SRR7408869	1
SRR7408870	1
SRR7408871	1
