GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Mysm1_3	4543	628	5.779e-01	2.690e+00	3.258e+00	1.044e-02	1.361e+00	9.899e-02	2.009e-01
Mzf1_2	449	121	1.066e-01	1.566e+00	1.815e+00	1.420e-02	1.363e-01	6.016e-01	7.493e-01
N4bp1_8	4500	1741	6.988e-01	5.948e+00	1.457e+00	-1.317e-02	1.551e+00	7.824e-02	1.657e-01
N4bp2_2	4346	126	4.836e-01	-5.264e+00	4.500e+00	6.634e-03	2.622e-01	4.690e-01	6.162e-01
N4bp2_7	972	525	3.053e-01	2.484e+00	3.678e+00	-5.660e-03	4.576e-01	3.387e-01	4.918e-01
N4bp2l2_2	14097	4048	9.426e-01	3.844e+00	1.613e+00	-6.051e-03	1.777e+00	5.938e-02	1.345e-01
N4bp2l2_4	16410	4193	9.447e-01	4.015e+00	1.500e+00	-8.800e-03	5.035e+00	1.507e-03	6.462e-03
N6amt1_1	27719	6706	9.590e-01	2.989e+00	1.997e+00	-6.478e-03	4.664e+00	2.257e-03	9.403e-03
Naa16_nmdSE_1	9899	1261	8.811e-01	-2.623e+00	2.735e+00	-7.403e-03	1.769e+00	6.001e-02	1.355e-01
Naa25_nmdSE_1	14809	2124	9.447e-01	-3.224e+00	1.892e+00	-6.139e-03	2.056e+00	4.260e-02	1.032e-01
Naa35_9	12877	5955	9.221e-01	3.911e+00	1.684e+00	1.147e-02	5.828e+00	6.399e-04	3.009e-03
Naa40_1	11959	6023	9.160e-01	4.822e+00	1.436e+00	-8.332e-03	3.586e+00	7.406e-03	2.556e-02
Naa60_1	8012	3688	8.361e-01	3.996e+00	1.913e+00	4.265e-04	-3.408e-01	1.000e+00	1.000e+00
Naa60_nmdSE_1	7019	1155	8.299e-01	-6.620e+00	3.147e+00	-4.877e-03	-3.662e-02	1.000e+00	1.000e+00
Nab2_1	9624	936	5.553e-01	-1.543e+00	2.164e+00	5.121e-03	5.608e-01	2.896e-01	4.384e-01
Nadk2_5	1706	452	5.840e-01	-1.304e+00	2.742e+00	-1.201e-02	2.798e+00	1.800e-02	5.212e-02
Nadk_3	26848	14333	9.672e-01	3.403e+00	1.361e+00	-1.315e-03	-1.254e+00	1.000e+00	1.000e+00
Nadk_4	19466	1472	9.549e-01	-3.804e+00	2.016e+00	-7.379e-03	3.827e+00	5.667e-03	2.052e-02
Nadsyn1_8	1646	623	3.791e-01	3.332e+00	1.700e+00	1.088e-03	-5.774e-02	1.000e+00	1.000e+00
Nae1_7	13355	6717	9.775e-01	4.359e+00	1.504e+00	3.135e-03	8.145e-01	2.019e-01	3.362e-01
