hgnc_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
FNDC10,10705.0,True,2750.0,5.691121743753323,8953.42741581549,1.5225760650208227
RPL7P52,11934.0,True,2442.0,6.344497607655502,13170.398279547999,1.5594349995681513
ZNF883,9125.0,True,2946.0,4.851143009037746,5975.142723426877,1.4988138566811162
HDAC2-AS2,6639.0,True,867.0,3.529505582137161,4730.1056449149955,1.9066088159818162
FCF1P2,15014.0,True,4613.0,7.981924508240298,10852.267758209191,1.3516439898904065
HNRNPCP7,2110.0,True,3854.0,1.1217437533227006,900.5644258938771,1.4108484855733936
PSMD10P1,5226.0,True,4505.0,2.778309409888357,2340.982210119108,1.359841183039986
LINC00954,33386.0,True,83.0,17.749069643806486,62518.839660038226,2.629619172410364
THRB-AS1,16421.0,True,1668.0,8.729930887825624,15377.141917495219,1.6931008795198983
BACH1-IT2,767.0,True,1627.0,0.4077618288144604,156.31289716877623,1.7014712222645507
MIR4500HG,2058.0,True,3140.0,1.0940988835725678,592.6714598391529,1.4791716765270704
PIK3IP1-AS1,6017.0,True,4091.0,3.198830409356725,8852.051934801542,1.3906773117157647
SEPT7-AS1,53850.0,True,211.0,28.628389154704944,103714.27247022295,2.3543156266180874
UBAC2-AS1,25709.0,True,500.0,13.667729930887825,39342.18900596106,2.051545649425838
MTND1P9,1983.0,True,4826.0,1.0542264752791068,504.0832281380433,1.3377683359839103
RPL30P13,2509.0,True,3205.0,1.3338649654439128,1956.0374110647344,1.4724099682835388
TRBV23OR9-2,692.0,True,2990.0,0.3678894205209995,138.62841517074438,1.4953737632837076
CCDC26,47772.0,True,4340.0,25.39712918660287,51968.611885371065,1.3716384348764912
KCNQ5-AS1,5206.0,True,1077.0,2.7676767676767677,3139.9507844401455,1.8346308089770873
KRT18P4,21.0,True,4590.0,0.011164274322169059,0.1110455054464013,1.3538817183784515
KRT8P12,23926.0,True,2148.0,12.719829877724614,24440.733696992316,1.609364730553024
MTCO2P12,292062.0,True,9.0,155.2695374800638,1339719.106566222,4.1142776890736235
RPL21P44,7953.0,True,2374.0,4.228070175438597,5112.194232922732,1.568690690021289
MBNL1-AS1,49209.0,True,839.0,26.161084529505583,84526.72882520614,1.9159074119214607
ISPD-AS1,5386.0,True,4591.0,2.863370547581074,2439.815896931238,1.3536765758709448
SOS1-IT1,4624.0,True,4733.0,2.458266879319511,1918.2462627393754,1.3436776503193637
MIR194-2HG,557.0,True,971.0,0.2961190855927698,77.83833067517277,1.86935761894538
CXCR2P1,1410.0,True,1675.0,0.7496012759170654,470.0420543622111,1.6914401570664772
MTCYBP32,2248.0,True,4227.0,1.1951089845826688,1156.526273937584,1.3804300847374966
KRT18P26,864.0,True,1949.0,0.45933014354066987,146.63358444467067,1.641786506030433
ATP8A2P2,437.0,True,2656.0,0.23232323232323232,49.03057167418869,1.5331047842443386
XIST,210193.0,True,508.0,111.74534821903244,462859.26330946636,2.0430262839232904
ZNF688,18828.0,True,4124.0,10.009569377990431,15198.733950931486,1.3882664136579512
EMX2OS,378.0,True,3109.0,0.20095693779904306,32.56491397739998,1.4831543226446855
HBBP1,10253.0,True,470.0,5.450824029771399,24048.02430916104,2.07068652930315
ALMS1-IT1,8864.0,True,941.0,4.712387028176502,7513.03372413949,1.8817263682654481
LRRC37A15P,1822.0,True,2886.0,0.9686337054758107,602.022951802459,1.5054847197201793
PRRT3-AS1,2960.0,True,3159.0,1.573631047315258,1372.3691766489078,1.4773406988909419
HOXB-AS1,2634.0,True,4144.0,1.4003189792663477,824.2997658556449,1.3870115128665848
SMYD3-IT1,74.0,True,2765.0,0.03934077618288145,1.464408926894929,1.5212053063122923
ATP6V0CP1,7.0,True,2163.0,0.003721424774056353,0.013284015971585957,1.6068538720671843
PHBP9,11476.0,True,2895.0,6.101010101010101,12927.061068128089,1.5046935136096573
FMO7P,1337.0,True,3031.0,0.7107921318447634,327.91312282964014,1.4913305205386382
MTND2P4,6.0,True,4630.0,0.003189792663476874,0.010628117682988903,1.3497959149023113
LINC01284,42.0,True,2024.0,0.022328548644338118,0.4601394685941158,1.6298511191526122
RPL4P3,2907.0,True,2759.0,1.5454545454545454,1082.1172147001935,1.521636507797463
DSCR9,5855.0,True,3083.0,3.1127060074428496,3041.589418258735,1.485596906573739
FAM41C,523.0,True,4667.0,0.27804359383306754,46.49977829809856,1.3477480188577586
LINC01747,1474.0,True,4859.0,0.783625730994152,430.45581684708225,1.3357218208783244
SERPINB9P1,34974.0,True,193.0,18.593301435406698,60098.96642319046,2.3774914770810964
RPS29P6,10.0,True,2787.0,0.00531632110579479,0.022312147228160665,1.5178136424523967
PA2G4P4,2871.0,True,3918.0,1.5263157894736843,1771.3547592385219,1.4047897675483214
VAV3-AS1,12800.0,True,3288.0,6.804891015417331,11619.842231384391,1.4656462599166142
HMGB1P49,1035.0,True,2151.0,0.5502392344497608,198.90930978316194,1.608616482355452
HM13-AS1,216.0,True,1858.0,0.11483253588516747,9.90063626183447,1.6567348493426906
DNM3OS,15458.0,True,188.0,8.217969165337587,25653.6178897033,2.387043959716348
CYP4F60P,9.0,True,1636.0,0.004784688995215311,0.021785605212256948,1.6993298187741597
KLHL7-DT,10139.0,True,379.0,5.390217969165338,10673.433819154592,2.146784570707213
ARHGAP26-IT1,441.0,True,2056.0,0.23444976076555024,39.93277002952255,1.6235748167314086
C2orf27AP3,95.0,True,2973.0,0.050505050505050504,1.8213840532989467,1.4966250738449807
LINC01293,813.0,True,599.0,0.43221690590111644,165.1965998167566,2.006233694378219
ZNF674-AS1,198746.0,True,4828.0,105.65975544922914,284631.1655550465,1.3376352143956405
LINC00692,4.0,True,4980.0,0.002126528442317916,0.004250794620335494,1.3278372863275414
DSTNP1,2816.0,True,3459.0,1.4970760233918128,953.9150180415577,1.4471189511870453
EIF4A1P3,78.0,True,2876.0,0.04146730462519936,1.5918965692761884,1.506424107581466
GCNT1P3,41.0,True,1436.0,0.021796916533758637,0.4298437906500616,1.7401438727785936
MORF4L2-AS1,78454.0,True,38.0,41.708665603402444,208732.3953982716,2.9899104485273
KLF3-AS1,77492.0,True,3190.0,41.197235513024985,101384.94831150248,1.4742497478185925
TRBV26OR9-2,918.0,True,3407.0,0.4880382775119617,150.6212664155553,1.4524496504513424
LINC00852,11277.0,True,1979.0,5.9952153110047846,8800.53774305202,1.6362523466412497
LINC01423,2180.0,True,3544.0,1.1589580010632643,1512.5826976370647,1.4395123247697441
ITPR1-DT,3147.0,True,928.0,1.6730462519936204,1889.4776188537105,1.885845055755533
RPS3P2,111.0,True,3094.0,0.05901116427432217,2.445983915300824,1.4847317111373008
TBL1XR1-AS1,326.0,True,4665.0,0.17331206804891017,18.172074609476624,1.3479989779690156
ACTG1P10,1808.0,True,3714.0,0.961190855927698,460.378812198129,1.4237915188544998
ARL4AP4,1095.0,True,2352.0,0.5821371610845295,215.01040415351724,1.572725733870952
LINC01516,28.0,True,4877.0,0.014885699096225412,0.17211872363048172,1.3341830868541191
TIMM8AP1,597.0,True,3479.0,0.31738437001594894,64.70293698462791,1.4453408059696564
DIRC3,3785.0,True,2537.0,2.012227538543328,1620.5599567907518,1.5477345148826551
TMSB15B-AS1,2751.0,True,4499.0,1.4625199362041468,1010.9317061997352,1.3605537674615213
ABCA9-AS1,2499.0,True,4896.0,1.328548644338118,729.9590196477654,1.3332636179405348
TMEM44-AS1,89501.0,True,2127.0,47.58160552897395,132318.95144869748,1.6118972238524198
PIK3CD-AS2,10608.0,True,2814.0,5.639553429027114,7469.904051715362,1.5132365152710463
