GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Elavl2_7	28929	1985	8.540e-01	-3.710e+00	4.680e+00	5.618e-01	-1.295e+00	1.000e+00	1.000e+00
Elavl2_8	50845	3503	8.760e-01	-3.778e+00	3.876e+00	5.190e-01	7.012e-01	2.363e-01	5.016e-01
Elmo2_2	15758	6106	7.824e-01	1.954e+00	2.007e+00	-7.735e-01	3.306e+00	1.013e-02	1.388e-01
Elp5_6	48211	24640	7.961e-01	7.165e+00	3.978e+00	-7.071e-01	1.051e+00	1.471e-01	4.034e-01
Emc10_7	96411	8127	9.587e-01	6.086e-01	3.639e+00	-2.101e+00	1.045e+01	4.853e-06	9.603e-04
Emc4_3	31220	11586	7.631e-01	6.375e+00	3.508e+00	3.927e-02	-8.574e-01	1.000e+00	1.000e+00
Emc8_3	47029	4780	6.694e-01	1.275e+00	5.561e+00	-2.293e-01	-1.396e+00	1.000e+00	1.000e+00
Emc8_13	4606	1178	3.939e-01	-8.368e+00	3.177e+00	3.992e-01	3.721e-01	3.883e-01	6.558e-01
Eml1_3	2085	360	2.479e-01	-8.530e+00	3.446e+00	1.417e+00	6.725e-01	2.462e-01	5.121e-01
Eml1_4	2100	1122	2.479e-01	5.727e+00	3.199e+00	1.534e+00	7.354e-01	2.252e-01	4.895e-01
Emsy_6	5902	1497	3.967e-01	7.714e-01	5.117e+00	1.627e+00	1.717e+00	6.390e-02	2.935e-01
Emsy_7	19871	4554	6.419e-01	4.583e+00	5.139e+00	1.051e+00	8.350e-01	1.963e-01	4.470e-01
Emsy_9	5270	1367	3.802e-01	-4.153e-02	6.727e+00	-6.731e-01	8.745e-01	1.860e-01	4.385e-01
Emsy_10	4559	1250	3.554e-01	3.322e+00	5.832e+00	-8.956e-02	5.005e-02	7.517e-01	1.000e+00
Emsy_11	21765	6448	6.419e-01	4.722e+00	5.538e+00	9.764e-01	5.762e-02	7.343e-01	9.862e-01
Emsy_12	7421	808	3.829e-01	-6.134e+00	5.490e+00	-1.063e+00	-4.758e-01	1.000e+00	1.000e+00
Emsy_15	10396	2946	3.857e-01	6.712e+00	4.155e+00	-1.871e+00	1.801e+00	5.769e-02	2.834e-01
Ep400_7	73162	3264	6.722e-01	-4.273e+00	5.188e+00	-2.279e+00	2.821e+00	1.753e-02	1.687e-01
Epb41_2	11385	2076	7.355e-01	-7.911e+00	3.433e+00	-3.901e-01	3.926e-01	3.756e-01	6.429e-01
Epb41_3	7642	1494	7.273e-01	1.367e+00	2.774e+00	-7.805e-01	2.063e+00	4.223e-02	2.591e-01
Epb41l1_3	11093	2565	8.430e-01	1.270e+00	9.640e-01	-2.182e-01	4.512e-01	3.422e-01	6.073e-01
