mgi_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
Chchd10,328375.0,True,192.0,274.33166248955723,264787.2979347756,2.6464659582552548
Dtx3l,1469.0,True,1259.0,1.227234753550543,306.8596924306307,1.6500418907656045
Spty2d1,51381.0,True,843.0,42.92481203007519,18158.118087861796,1.8206127571586477
Cdc42ep1,4045.0,True,336.0,3.379281537176274,4656.369403162309,2.271340461457626
Adamts16,25993.0,True,230.0,21.715121136173767,13759.13533136073,2.537077482540742
Polr1a,55288.0,True,1387.0,46.188805346700086,17551.2837207288,1.6125578052579779
Omg,169841.0,True,1104.0,141.88888888888889,71126.27945001858,1.7049654315747258
Prss33,1151.0,True,389.0,0.9615705931495405,317.1373179325125,2.2052366072409146
Aftph,109622.0,True,386.0,91.58061821219717,63060.851563831544,2.2073455937405186
Lig4,32140.0,True,1508.0,26.850459482038428,9265.61056207967,1.5846193477320905
Zfp646,38909.0,True,1928.0,32.50543024227235,10835.584627678449,1.4971296312509776
Fzd4,2303.0,True,1095.0,1.9239766081871346,555.6589313305561,1.707625264408556
Crh,689.0,True,1758.0,0.5756056808688388,103.03713017214162,1.5314766400015998
Suox,21842.0,True,1852.0,18.247284878863827,5877.68796293968,1.5116641803437847
Rasl11b,7541.0,True,631.0,6.299916457811195,2393.7486036719447,1.9735741758691643
Shisa3,1469.0,True,1007.0,1.227234753550543,544.1071840694267,1.74384062334495
Rspry1,156619.0,True,1238.0,130.84294068504596,62367.000395358526,1.6563008755924395
Abca12,1092.0,True,753.0,0.9122807017543859,340.88778384087306,1.8777227600456794
Tcf19,3202.0,True,1865.0,2.6750208855472013,720.5138654886939,1.5095533796734653
Lypd6,10565.0,True,831.0,8.826232247284878,3223.135331360732,1.8277804278248935
Slc35d3,115913.0,True,481.0,96.83625730994152,54664.978182636085,2.103083434286597
Pcdh20,5730.0,True,675.0,4.786967418546366,3453.5406995750245,1.9367748672212683
Htr5b,10251.0,True,1749.0,8.563909774436091,2616.025385369779,1.5335110703220023
Prokr2,11573.0,True,908.0,9.668337510442774,3480.088068554888,1.786576866740179
Zfp61,81092.0,True,667.0,67.74603174603175,33213.71972713277,1.9425758558344701
Ccdc96,8745.0,True,900.0,7.305764411027569,2562.648904870873,1.7922455325615048
Scg2,6356100.0,True,642.0,5310.025062656641,34126993.0880001,1.9635729722841027
Zbtb26,30359.0,True,466.0,25.362573099415204,11646.547360597706,2.1197674842808363
Arhgap42,24875.0,True,803.0,20.78111946532999,8222.527302090231,1.841349974043674
Slc29a4,289677.0,True,1513.0,242.00250626566415,133273.261699399,1.5843545061243398
Zfp940,44888.0,True,901.0,37.50041771094403,15259.880643638082,1.7920877998732603
Cdr2l,61201.0,True,1718.0,51.12865497076023,18947.89647753721,1.541588114446097
Zfp438,17630.0,True,919.0,14.728487886382624,5492.448794785179,1.7811672325229182
Gja1,2436.0,True,634.0,2.0350877192982457,684.237898257349,1.9689126178007208
Hs3st1,84476.0,True,633.0,70.57309941520468,35313.17128244245,1.9694190430009544
Zfp11,31731.0,True,1016.0,26.50877192982456,10027.89227248724,1.739290462735737
Gprc5c,8334.0,True,704.0,6.962406015037594,2591.4174818316696,1.91228789858721
Sv2c,89926.0,True,60.0,75.12614870509607,72219.5417655063,3.7485096126998325
Eml5,259399.0,True,1917.0,216.70760233918128,108571.72546891197,1.4992413494145482
Ercc6l,1737.0,True,1244.0,1.4511278195488722,540.0688887771269,1.6535078181155005
Tceanc,12158.0,True,914.0,10.157059314954052,3667.6709639203923,1.7846067020527931
Pcdhb9,42450.0,True,232.0,35.46365914786968,20210.441194960647,2.5301892350955986
Islr2,3348.0,True,196.0,2.7969924812030076,1321.1217969673348,2.632093546350462
Nup160,40929.0,True,807.0,34.19298245614035,14093.247843689493,1.8390262617345394
Plekhm3,51122.0,True,1989.0,42.70843776106934,14731.394017373423,1.4857901881197266
Samd3,2794.0,True,273.0,2.334168755221387,1139.1758632925682,2.4243085043105372
Flrt3,200434.0,True,1191.0,167.4469507101086,86347.03000114555,1.6734032408889685
Plagl2,70751.0,True,957.0,59.106934001670844,25742.491900039957,1.7651896751686924
Pcdhb11,13116.0,True,261.0,10.957393483709273,5550.213066110091,2.4518141386876224
Zfp786,40275.0,True,1632.0,33.64661654135338,11737.216988960696,1.5597703383676293
Pcdhb2,12668.0,True,1713.0,10.58312447786132,3314.57606949369,1.542460387014432
Lrrc3,233355.0,True,404.0,194.94987468671678,137725.90718434885,2.188355785716132
Pcdhb6,14270.0,True,601.0,11.921470342522975,4869.858376431604,1.9916082291724195
Kcnf1,35830.0,True,733.0,29.93316624895572,12472.599208444746,1.8903609536391872
Kctd14,2501.0,True,815.0,2.089390142021721,658.3423371695683,1.8371326204596021
Krt71,368.0,True,1687.0,0.30743525480367584,43.169618583806226,1.54739070717077
Rspo2,13607.0,True,217.0,11.367585630743525,5979.421624015446,2.574950525104282
Xkr4,59839.0,True,1877.0,49.99081035923141,18041.82349407521,1.507309834881134
Casr,59271.0,True,124.0,49.51629072681704,35359.66131465788,2.987756003547199
