	C_score	pval
Abi1_2	0.43028073652732945	0.0004997501249375312
Abi1_4	0.43507202524982946	0.0004997501249375312
Abi1_6	0.02572863574879758	0.9960019990004998
Abi1_8	0.09940489675264597	0.018490754622688656
Abi1_9	0.30516638642325467	0.0004997501249375312
Abi2_2	0.4228327323154677	0.0004997501249375312
Abi2_3	0.7050683170185301	0.0004997501249375312
Abi2_4	0.740993484169423	0.0004997501249375312
Abi2_5	0.6872031537650627	0.0004997501249375312
Abi2_7	0.11590155258217727	0.02948525737131434
Abl1_nmdSE_2	0.2570279025844723	0.3458270864567716
Ablim1_3	0.5412298110115457	0.0004997501249375312
Ablim1_6	0.2268704670725039	0.07546226886556721
Ablim1_7	0.2333986232484051	0.02148925537231384
Ablim2_10	0.67371366857727	0.0004997501249375312
Ablim2_11	0.7374707810735877	0.0004997501249375312
Ablim2_2	0.4764271499281242	0.008995502248875561
Ablim2_4	0.475757511801443	0.0004997501249375312
Ablim2_6	0.4489347118967105	0.0004997501249375312
Ablim2_8	0.03160697680964475	0.999000499750125
Ablim2_nmdSE_1	0.13223318562298636	0.27636181909045476
Ablim3_1	0.3049968151521941	0.0004997501249375312
Ablim3_4	0.17127976875237205	0.004997501249375313
Ablim3_5	0.4012690241765231	0.0004997501249375312
Ablim3_6	0.04756688325140912	0.9105447276361819
Ablim3_7	0.5329559559871444	0.0004997501249375312
Ablim3_8	0.45635905734588	0.0004997501249375312
Abr_2	0.0059884897339334	0.9970014992503748
Abt1_1	0.27024846285179815	0.0004997501249375312
Abtb1_1	0.18244433493006107	0.09545227386306847
Acaa1a_6	0.11566807533184309	0.0004997501249375312
Acaa1b_2	0.8790461542464022	0.0004997501249375312
Acaca_3	0.11747792430968163	0.9920039980009995
Acaca_7	0.16538940741535246	0.8380809595202399
Acaca_9	0.3675431346007153	0.041979010494752625
Acad10_2	0.6947302227576851	0.0004997501249375312
Acad10_3	0.8771107467717273	0.0004997501249375312
Acad8_1	0.18547554262159716	0.10794602698650675
Acad8_2	0.15584532610430746	0.42328835582208896
Acad8_3	0.08308656604929432	0.8885557221389305
Acad9_1	0.15671474356394355	0.018490754622688656
Acad9_2	0.12964214052745548	0.07946026986506746
Acads_2	0.057544844541536966	0.9825087456271864
Acadvl_1	0.19527256622449296	0.001999000499750125
Acan_1	0.9999627718937516	0.0004997501249375312
