	C_score	pval
Aasdh_4	0.199829943425341	0.006899310068993101
Aasdh_7	0.21565015576214952	0.021897810218978103
Aasdh_8	0.2656396971585585	0.015498450154984501
Aasdh_nmdSE_1	0.24794967616825614	0.006799320067993201
Aasdhppt_1	0.22140535739098477	9.999000099990002e-05
Aasdhppt_2	0.22021704214286641	9.999000099990002e-05
Aasdhppt_3	0.2601118441517888	9.999000099990002e-05
Aasdhppt_4	0.32923786836501323	9.999000099990002e-05
Aatf_1	0.056391336206469966	0.36466353364663534
Aatk_1	0.04333055673262043	0.5400459954004599
Abat_2	0.21114275529046922	9.999000099990002e-05
Abat_3	0.4216805648593961	9.999000099990002e-05
Abca1_1	0.8341395592127339	9.999000099990002e-05
Abca3_4	0.09903101658287872	0.04559544045595441
Abca3_5	0.24921886045119035	9.999000099990002e-05
Abca7_2	0.30503938002805875	0.00019998000199980003
Abca8b_2	0.36497041898993643	9.999000099990002e-05
Abcb6_1	0.15188355168694134	0.00019998000199980003
Abcb8_1	0.43265793558241006	9.999000099990002e-05
Abcc10_1	0.23374517503119252	0.0117988201179882
Abcc1_2	0.012790689575217895	0.9896010398960104
Abcc5_2	0.0016334739926581188	0.9964003599640036
Abcc5_3	0.19822263270679052	9.999000099990002e-05
Abcc5_4	0.013046279289652407	0.9487051294870513
Abcc8_4	0.40733763927570465	9.999000099990002e-05
Abcc8_5	0.33579462185964115	0.0014998500149985001
Abcd3_1	0.09476308201092587	0.0030996900309969004
Abcd4_1	0.3069667346386199	0.004199580041995801
Abcd4_3	0.19155651890084746	0.10288971102889712
Abcd4_4	0.35785549756829926	9.999000099990002e-05
Abcd4_5	0.2648846553716865	0.0036996300369963003
Abcd4_6	0.1140588954071533	0.3722627737226277
Abce1_2	0.2358535316285567	9.999000099990002e-05
Abcf1_1	0.00011591718868997347	0.9998000199980002
Abcf1_2	0.11552522194043191	9.999000099990002e-05
Abcf2_1	0.04074662848479582	0.2024797520247975
Abcf3_1	0.17928071197109507	9.999000099990002e-05
Abcg2_3	0.08134397316009845	0.22727727227277272
Abcg4_1	0.0638536221661048	0.04999500049995
Abhd10_1	0.010271496523189594	0.9115088491150884
Abhd10_2	0.0073445469602974045	0.9187081291870813
