GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Sorbs2_17	3781	677	5.389e-01	-5.708e+00	4.563e+00	1.164e+00	4.814e-01	3.265e-01	4.604e-01
Sorbs2_18	17127	6260	8.057e-01	3.596e+00	4.399e+00	1.162e-01	9.570e-01	1.665e-01	2.925e-01
Spag9_6	8456	1701	7.150e-01	-6.393e+00	2.120e+00	2.570e+00	1.052e+01	4.507e-06	9.339e-05
Spag9_10	8466	1711	7.150e-01	-6.467e+00	3.106e+00	-9.615e-01	1.252e+00	1.136e-01	2.262e-01
Spag9_12	4585	506	6.088e-01	-6.098e+00	9.649e-01	8.144e-01	2.368e-01	4.913e-01	6.325e-01
Spata7_1	1729	905	2.228e-01	5.929e+00	5.024e+00	-1.825e-01	8.319e-01	1.971e-01	3.300e-01
Spg7_6	6804	3168	4.508e-01	6.004e+00	3.897e+00	8.461e-01	1.920e+00	5.005e-02	1.335e-01
Spg7_10	5653	830	4.326e-01	-7.321e+00	4.635e+00	7.496e-01	6.421e-01	2.571e-01	3.884e-01
Sphkap_1	871	271	1.684e-01	-1.473e+00	2.721e+00	4.347e+00	2.272e+00	3.302e-02	1.007e-01
Spin2c_1	4280	771	2.591e-01	3.213e+00	2.070e+00	-1.881e+00	2.560e+00	2.366e-02	7.993e-02
Spint2_nmdSE_1	7907	2850	6.347e-01	-4.427e+00	3.575e+00	1.487e+00	4.134e+00	4.034e-03	2.131e-02
Spock1_2	1209	210	1.969e-01	9.901e-01	2.683e+00	-3.397e-01	-5.017e-02	1.000e+00	1.000e+00
Spon1_1	6502	2612	3.057e-01	4.139e+00	2.464e+00	1.354e+00	1.641e+00	7.003e-02	1.650e-01
Sppl2b_2	6080	2894	4.715e-01	6.822e+00	3.829e+00	-1.619e+00	1.520e+00	8.128e-02	1.844e-01
Sptan1_6	8962	2089	8.601e-01	2.558e+00	2.477e+00	-3.213e-01	3.101e-01	4.310e-01	5.691e-01
Src_3	3392	490	5.104e-01	4.960e+00	3.109e+00	-9.303e-01	2.574e-01	4.730e-01	6.163e-01
Srcap_3	10497	1836	6.606e-01	-1.044e+00	3.001e+00	1.580e+00	4.493e+00	2.720e-03	1.563e-02
Srcap_6	5567	907	5.155e-01	-6.936e+00	4.699e+00	3.471e+00	5.622e+00	7.992e-04	6.484e-03
Srek1_3	9113	1769	7.228e-01	-4.056e+00	5.126e+00	1.315e+00	6.035e-01	2.719e-01	4.033e-01
Srp19_3	15645	5485	7.591e-01	4.691e+00	3.912e+00	3.118e+00	9.032e+00	2.136e-05	3.361e-04
Srpk2_8	6951	1110	8.575e-01	-7.850e-01	2.230e+00	7.111e-02	-2.847e-01	1.000e+00	1.000e+00
Srr_6	5369	2734	4.534e-01	5.386e+00	3.824e+00	-5.933e-01	9.421e-01	1.698e-01	2.964e-01
Srrm2_nmdSE_1	7751	1388	6.244e-01	-6.620e+00	4.028e+00	-2.554e-01	-2.222e-02	1.000e+00	1.000e+00
Srsf10_nmdSE_1	17590	7146	8.938e-01	-3.804e+00	3.616e+00	3.738e+00	3.205e+01	1.183e-15	1.330e-13
Srsf11_nmdSE_2	22390	4617	9.223e-01	-2.835e+00	3.208e+00	4.144e-01	8.838e-01	1.837e-01	3.149e-01
Srsf11_7	15596	1210	9.197e-01	-2.840e+00	3.917e+00	-4.835e-01	-9.521e-01	1.000e+00	1.000e+00
Srsf2_1	167969	4836	9.948e-01	-4.852e+00	2.734e+00	1.222e+00	7.520e+00	1.053e-04	1.275e-03
Srsf3_nmdSE_1	77859	35436	9.948e-01	-1.677e+00	2.053e+00	-3.098e-02	1.359e+00	9.918e-02	2.076e-01
