	scvi_1	scvi_2	scvi_3	scvi_4	scvi_5	scvi_6	scvi_7	scvi_8	scvi_9	scvi_10
SRR6531681	1.227231	-0.24504258	-0.26770896	-1.0519885	-0.6337224	0.17215031	0.48646355	0.16266781	0.07597393	-0.5175513
SRR6531683	1.1661184	-0.26083016	-0.28691894	-1.0454745	-0.637648	0.101297915	0.43223837	0.18891698	0.026694834	-0.54976004
SRR6531684	-0.9940887	0.86380064	0.34715617	0.36779487	0.18508977	-0.83211476	0.17033818	0.016739786	-1.854338	-1.1468571
SRR6531685	-0.9555388	0.84654367	0.3734035	0.37144005	0.23340046	-0.8328614	0.22354178	-0.042822897	-1.8289149	-1.0971376
SRR6531686	0.7295068	0.40750933	-1.4078176	1.2044126	-2.5300245	0.26475203	2.2246318	-2.6381917	1.6445038	-2.0313532
SRR6531687	0.6808512	0.40933794	-1.3657396	1.2332779	-2.5588808	0.31189835	2.1631727	-2.6419032	1.6848962	-2.0380185
SRR6531688	-0.6691739	0.6751853	0.56774724	0.27205336	0.33534664	-0.046331167	-0.47728127	0.29619265	-1.6895187	-0.8258486
SRR6531689	-0.67173296	0.68604857	0.5901182	0.30134332	0.54782414	0.046168983	-0.4473769	0.27042228	-1.6948287	-0.86329985
SRR6531690	0.03097409	0.9693955	0.35409713	-0.5736025	0.62452114	0.10099095	-0.24451977	1.2665563	1.3537338	-1.6129054
SRR6531691	0.07601088	1.0228349	0.33125454	-0.508783	0.68065166	0.17538589	-0.31220782	1.2268553	1.382873	-1.633867
SRR6531693	0.39765874	2.8558168	1.6968743	1.1522825	2.8507884	0.07775307	-0.6344722	0.95426315	-0.3184284	-1.6573625
SRR6531697	0.08916026	1.0956398	0.9322371	0.7295474	0.7363887	-0.17544517	-1.2326486	-0.090143144	-1.6822278	-0.8556725
SRR6531698	0.0266366	1.1013252	0.96275795	0.7459346	0.7366005	-0.2230927	-1.14445	-0.058813512	-1.67294	-0.9101521
SRR6531701	-0.11627984	0.3428688	-0.55353117	-1.0809746	-1.195828	-0.08051497	-0.59152323	1.2381226	-0.25605744	-1.6239477
SRR6531702	-0.14764768	0.31765458	-0.55870426	-1.077053	-1.2079992	-0.09553021	-0.57041055	1.1776855	-0.28263408	-1.5789434
SRR6531703	0.03338945	-0.16102283	-0.06389141	-1.2165735	0.45441318	-0.031208813	0.2724541	0.43557978	0.47270423	-1.5819393
SRR6531704	0.3760848	2.8580842	1.7102642	1.1739782	2.8193681	-0.0058401227	-0.65932137	0.9221592	-0.3162424	-1.7115822
SRR6531705	0.051785648	-0.11660522	-0.05787182	-1.1928179	0.3809272	0.03507173	0.26116347	0.45193535	0.43793827	-1.5696188
SRR6531706	2.4721568	-0.24338266	-0.4469607	-0.33289838	0.33077705	0.05658406	0.072357565	0.20705813	0.22853905	-0.3128969
SRR6531707	2.5754774	-0.23408923	-0.43581557	-0.28315687	0.39820433	0.13220173	0.10730925	0.18682593	0.25267917	-0.29019147
SRR6531708	0.33459362	-0.5892706	-0.99117494	-1.4176133	-1.067677	0.98564655	-0.82437736	0.30208284	0.9954844	-0.99351513
SRR6531709	0.33092183	-0.5559488	-0.99838233	-1.4114957	-1.0454077	0.96804756	-0.7848192	0.32821095	0.8833508	-0.98331773
SRR6531710	0.45958233	-0.0009316504	-0.042339504	-1.1953887	-0.69119036	0.35436505	0.61985505	0.8104869	-0.4456053	-1.0965167
SRR6531711	0.39839616	0.035061598	-0.05790758	-1.2137	-0.6564209	0.36921108	0.616743	0.79923594	-0.3949684	-1.1173321
SRR6531712	0.6760737	0.8176271	-0.8497138	-0.7729343	-0.8665387	0.2713735	-0.5923106	0.45539504	0.65031844	-1.5678698
SRR6531713	0.6043354	0.8656032	-0.81051993	-0.77991605	-0.9193553	0.29994357	-0.6678257	0.4437477	0.6498051	-1.6360085
SRR6531714	0.36598668	0.7199884	0.4739537	-1.0051243	0.86065054	0.02381748	0.65378714	0.21949708	-0.056592166	-1.7377573
SRR6531716	0.41740704	0.6997205	0.48336068	-1.0034547	0.926074	0.06442958	0.7036893	0.19740295	-0.035313547	-1.6402136
SRR6531717	0.8482528	0.47839832	-0.5872159	0.9937247	-2.0384405	-0.53754073	1.002179	1.1362892	-0.24797904	0.22856514
SRR6531718	0.8161204	0.49162394	-0.5293608	0.9939631	-1.9874711	-0.52360684	1.0330405	1.1268743	-0.24896216	0.24724832
SRR6531719	0.36036026	-1.8089937	0.93643343	0.056577504	-1.0704753	1.088932	0.75315076	0.6008711	0.23797542	0.017803326
SRR6531720	0.37084523	-1.7618068	0.93993235	0.05069387	-1.0979252	1.0274236	0.7487129	0.59743047	0.20674092	-0.010881811
SRR6531721	-0.43711096	0.33590028	-1.1236912	0.9137522	-2.710077	-0.28562775	0.8337315	0.67857844	-0.27480078	-1.0001783
SRR6531722	-0.45204479	0.35029212	-1.1272297	0.9200909	-2.6871617	-0.2927545	0.8016628	0.6727083	-0.30076003	-1.0174028
SRR6531723	-0.92880327	-1.2526996	1.5738646	-0.22888386	-0.54389	0.04630786	1.2923937	0.14939874	-0.083304465	-0.099130034
SRR6531724	-0.8928446	-1.249421	1.5731252	-0.20295036	-0.5211193	0.012841761	1.2747059	0.22491688	-0.07824755	-0.13408431
SRR6531725	-0.050081432	1.4459461	-0.256679	1.0362068	0.51427364	-0.74519	-0.54066175	0.22119099	-1.5226862	0.4628073
SRR6531727	-0.0003873706	1.5056139	-0.25238407	1.0394472	0.48301852	-0.7283248	-0.38268942	0.11018425	-1.4702263	0.40200543
SRR6531728	0.38524187	-0.18482092	-1.8414474	-0.8469665	-0.23210704	-1.8903282	0.26474202	-0.7759784	1.388264	-2.0570128
SRR6531729	0.44033882	-0.115541324	-1.8669317	-0.8143674	-0.31704003	-1.8546171	0.2664747	-0.8312468	1.3919325	-1.9944106
SRR6531730	0.48789895	0.8199188	-0.84079957	0.49041426	-1.4238497	-0.07853714	1.177825	0.86785156	-0.8661087	-0.3062386
SRR6531731	0.52032924	0.80706644	-0.8309102	0.50335264	-1.4394721	-0.06592476	1.1558368	0.8470781	-0.840948	-0.34883136
SRR6531732	0.35422775	1.261706	0.48981106	0.9367033	0.64672387	1.048897	-0.7415695	0.41775054	-1.8684865	-0.85937697
SRR6531733	0.34867683	1.276493	0.5057608	0.9557208	0.7821537	1.0743916	-0.73309326	0.39371622	-1.8786285	-0.7721275
SRR6531734	0.25388524	0.6806352	-0.7993405	1.8981944	-1.9426446	0.28079247	1.3902478	-0.3713755	0.09574944	-0.8319279
SRR6531735	0.27706364	0.7039745	-0.8020251	1.850077	-1.9294491	0.23988783	1.3346252	-0.28027326	0.086376786	-0.8088339
SRR6531736	1.3658783	0.0335266	-0.4614761	-0.5295405	0.48469377	-0.33899635	-0.97228044	-1.1969216	0.75484806	-1.1796035
SRR6531738	1.2825844	0.027677506	-0.47983646	-0.43671033	0.44284332	-0.22944564	-0.889038	-1.2648861	0.72092396	-1.2855597
SRR6531739	-0.59532505	2.1815538	1.299917	0.616366	1.2786919	1.3227093	0.65220535	0.04841858	-1.401629	-0.04754661
SRR6531740	-0.49443048	2.1833901	1.3107785	0.5925275	1.2389102	1.3092139	0.59466773	0.094910026	-1.3764305	-0.006172918
SRR6531741	-1.0315015	-1.6334066	-1.7077291	-1.602636	-0.6227348	0.49603695	-0.5048289	-0.52524084	-0.9432474	-0.8021364
SRR6531742	-1.0122287	-1.6056082	-1.6795132	-1.6022831	-0.6720381	0.52781314	-0.53500676	-0.64346	-0.87248445	-0.8664717
SRR6531743	0.32726535	-0.24674255	-0.92940056	-0.82727724	0.5199858	0.6130603	-1.1224525	0.5235185	-0.66329414	-0.5869525
SRR6531744	0.25515446	-0.25582415	-0.89106786	-0.83660406	0.47311676	0.5888447	-1.129643	0.5221957	-0.70580995	-0.6345593
SRR6531745	-3.123292	1.2519149	-0.53565645	1.8346752	0.4304378	-0.9173891	-1.2869868	0.9088694	1.1024916	-1.7396644
SRR6531746	-3.136625	1.22591	-0.46373677	1.8759795	0.52614343	-0.85660243	-1.3195393	0.98945343	1.090282	-1.7524394
SRR6531747	1.6153846	0.55130625	0.68000305	-0.29490852	0.50350857	0.63578576	-2.1177099	0.6765957	0.8402906	-1.364355
SRR6531749	1.5304645	0.53079045	0.61355805	-0.27107286	0.37931824	0.6980044	-2.1400104	0.76621944	0.88741165	-1.4029351
SRR6531750	-0.7372666	-0.3329935	-2.1948626	1.5175635	-2.8162777	1.112592	1.5904925	-0.81415445	-0.12214434	-1.4712026
SRR6531751	-0.7665673	-0.3312924	-2.169418	1.5042669	-2.8070061	1.1279223	1.6096911	-0.7981165	-0.14408565	-1.477489
SRR6531754	1.2511425	0.44339418	-0.035255313	-1.0077887	-0.4548264	0.7237409	0.4194445	-0.07475299	-0.40017724	-1.0421472
