	C_score	pval
Abcd4_5	0.04918196861459234	0.3778110944527736
Abce1_2	0.22738368000927855	0.0004997501249375312
Abcf3_1	0.19476385497052395	0.0004997501249375312
Abcg2_3	0.016299071256279385	0.6536731634182908
Abcg4_1	0.10649242391899272	0.0004997501249375312
Abhd10_2	0.03795533689692443	0.2448775612193903
Abhd10_3	0.2481530389230291	0.0004997501249375312
Abhd12_2	0.1932524931886176	0.0004997501249375312
Abhd12_nmdSE_1	0.13621142460158675	0.0004997501249375312
Abhd13_1	0.03226501212188582	0.41529235382308843
Abhd14a_1	0.03412437400694657	0.009995002498750625
Abhd14a_3	0.0385419755447145	0.004497751124437781
Abhd17a_1	0.11657434190488503	0.0004997501249375312
Abhd18_nmdSE_1	0.043954075583891306	0.4267866066966517
Abhd1_2	0.03915169749932923	0.33033483258370816
Abhd2_1	0.4551735149566767	0.0004997501249375312
Abhd5_1	0.15449077376279108	0.0014992503748125937
Abhd6_1	0.002243580756840391	0.9430284857571214
Abi1_1	0.12858519601718243	0.0004997501249375312
Abi1_6	0.08806273164762113	0.0004997501249375312
Abi1_8	0.017277425264771162	0.12393803098450774
Abi1_9	0.29672937024286594	0.0004997501249375312
Abi2_2	0.38049269487963955	0.0004997501249375312
Abi2_3	0.10170778420315685	0.0004997501249375312
Abi2_4	0.14624846471378128	0.0004997501249375312
Abi2_5	0.05792737135631787	0.05547226386806597
Abi2_7	0.0148507023065102	0.2063968015992004
Abl1_nmdSE_2	0.0554523225408291	0.19090454772613694
Ablim1_3	0.25563675216330384	0.0004997501249375312
Ablim1_6	0.1457427529722396	0.015492253873063468
Ablim1_7	0.12299325455669097	0.004497751124437781
Ablim2_10	0.3971277037907164	0.0004997501249375312
Ablim2_11	0.29413693131035556	0.0004997501249375312
Ablim2_2	0.665723076838106	0.0004997501249375312
Ablim2_4	0.4904409935924188	0.0004997501249375312
Ablim2_6	0.4309726226825855	0.0004997501249375312
Ablim2_nmdSE_1	0.07724007241877473	0.08095952023988005
Ablim3_1	0.2530253123446772	0.0004997501249375312
Ablim3_3	0.0262174733007825	0.4047976011994003
Ablim3_4	0.1563079352914778	0.0004997501249375312
Ablim3_5	0.3949632272057675	0.0004997501249375312
Ablim3_6	0.19710855809567862	0.0004997501249375312
Ablim3_7	0.5771319797065517	0.0004997501249375312
Ablim3_8	0.4651505598728992	0.0004997501249375312
Abt1_1	0.16273852370431707	0.0004997501249375312
Abtb1_1	0.034923515801905	0.07596201899050475
Acaa1a_6	0.005332997113468574	0.4832583708145927
Acad10_2	0.11328218981694227	0.0079960019990005
Acad10_3	0.7548375951487512	0.0004997501249375312
Acad8_2	0.04526528123464735	0.4077961019490255
Acad8_3	0.10177797795852794	0.07796101949025487
Acad9_1	0.08641509124755287	0.022988505747126436
Acadm_2	0.10023829859516009	0.010494752623688156
Acads_2	0.04623839628678739	0.5752123938030984
Acap3_1	0.13277499838575846	0.0014992503748125937
Acap3_2	0.24364439791293147	0.0004997501249375312
Acat1_1	0.1829412501398876	0.0004997501249375312
Acbd4_1	0.023052940145195655	0.42278860569715143
Acbd4_3	0.11264888418672692	0.006496751624187906
Acbd4_5	0.007169054961890575	0.7786106946526736
Acbd5_5	0.02401377109342151	0.48825587206396803
Acbd6_2	0.335460611913753	0.0004997501249375312
Accs_1	0.3351389463197022	0.0009995002498750624
Accs_2	0.08404303288432446	0.07546226886556721
Accs_3	0.022600596522617256	0.6676661669165417
Acd_2	0.060736562100557556	0.004497751124437781
Acd_3	0.4170770694871523	0.0004997501249375312
Acd_4	0.2748952282392647	0.0004997501249375312
Acin1_12	0.03466658045660398	0.0769615192403798
Acin1_2	0.011471821306629049	0.34832583708145926
Acin1_7	0.06526234936880748	0.09045477261369315
Acin1_8	0.01245508234204784	0.6366816591704147
Acin1_9	0.021602538433327156	0.4452773613193403
Acly_6	0.05624771877563761	0.0004997501249375312
Aco2_1	0.23752205602695775	0.0004997501249375312
Acot7_1	0.02291266850106155	0.0079960019990005
Acot7_2	0.18986666665487884	0.0004997501249375312
Acot8_1	0.1490705860782252	0.0004997501249375312
Acot9_2	0.027546869809981223	0.031484257871064465
Acox1_1	0.2341363360958959	0.0004997501249375312
Acox1_4	0.083651366001673	0.0004997501249375312
Acox1_5	0.5314756187276145	0.0004997501249375312
Acrbp_1	0.1147226509548257	0.006496751624187906
Acrbp_2	0.3714795633292516	0.0004997501249375312
Acrbp_3	0.15956016569286358	0.019490254872563718
Acsbg1_1	0.6641122977289873	0.0004997501249375312
Acsf3_1	0.14257201682457077	0.001999000499750125
Acsf3_2	0.4839221943475013	0.0004997501249375312
Acsl1_1	0.12016336299866814	0.004497751124437781
Acsl3_1	0.019371106257585202	0.014992503748125937
Acsl3_2	0.07986681311633337	0.0004997501249375312
Acsl3_3	0.31689703494902355	0.0004997501249375312
Acsl6_5	0.3492633927915839	0.0004997501249375312
Acsl6_6	0.12224168331483909	0.0004997501249375312
Acss1_1	0.5996930419406802	0.0004997501249375312
Acss2_1	0.19492079133671447	0.0004997501249375312
Acss2_2	0.09645413467623509	0.09395302348825588
Acss2_3	0.15355829098635043	0.02148925537231384
Actb_1	0.33399181176299175	0.0004997501249375312
Actb_2	0.39857946153671164	0.0004997501249375312
Actg1_nmdSE_1	0.029779248026903793	0.5787106446776612
Actl6a_1	0.6677100616043421	0.0004997501249375312
Actl6b_2	0.017285769003036466	0.24287856071964017
Actl6b_4	0.026670532089746124	0.07646176911544228
Actl6b_6	0.007242825644013129	0.6511744127936032
Actl6b_7	0.01411261193881952	0.40429785107446276
Actl6b_9	0.07475671106006188	0.0004997501249375312
Actn2_1	0.055341637382470776	0.19140429785107446
Actr10_1	0.06672982424825091	0.0004997501249375312
Actr1b_1	0.0338574175405848	0.0034982508745627187
Actr1b_2	0.07924102380202025	0.0004997501249375312
Actr1b_4	0.09918151147789578	0.0004997501249375312
Actr2_1	0.3018432180966997	0.0004997501249375312
Actr3b_1	0.15211558305954698	0.0004997501249375312
Actr3b_2	0.06488504902935333	0.005997001499250375
Actr3b_4	0.2662862053817806	0.0004997501249375312
Actr6_1	0.060506240607734685	0.0024987506246876563
Actr8_1	0.28866831321424735	0.0004997501249375312
Acvr1_2	0.44823370755070246	0.0004997501249375312
Acvr1_3	0.07374688013573039	0.051974012993503245
Acvr1b_1	0.46384579858370767	0.0004997501249375312
Acvr2a_1	0.24493811695776357	0.0004997501249375312
