	C_score	pval
Abhd10_3	0.12268532513441566	0.0024987506246876563
Abhd11_2	0.03685381689183209	0.2318840579710145
Abhd12_2	0.23463843676401974	0.0004997501249375312
Abhd12_nmdSE_1	0.1652036717620251	0.0004997501249375312
Abhd13_1	0.13003170623932447	0.009995002498750625
Abhd14a_1	0.02038179647483196	0.09195402298850575
Abhd14a_3	0.024658889508345383	0.049475262368815595
Abhd17a_1	0.14497327318840336	0.0004997501249375312
Abhd18_nmdSE_1	0.03969711095198003	0.46676661669165415
Abhd1_2	0.052200457464876004	0.2223888055972014
Abhd2_1	0.4151695963112596	0.0004997501249375312
Abhd5_1	0.1647166077416522	0.0004997501249375312
Abhd5_nmdSE_2	0.017478475136312954	0.624687656171914
Abhd6_1	0.03214267179553143	0.3808095952023988
Abi1_1	0.2690053716894625	0.0004997501249375312
Abi1_2	0.5337571395486906	0.0004997501249375312
Abi1_4	0.5497962107353946	0.0004997501249375312
Abi1_6	0.1665134769083303	0.0004997501249375312
Abi1_8	0.01261880458729625	0.2143928035982009
Abi1_9	0.31602178607709663	0.0004997501249375312
Abi2_2	0.4041425693909356	0.0004997501249375312
Abi2_3	0.12733862809235053	0.0004997501249375312
Abi2_4	0.12366369271404509	0.0004997501249375312
Abi2_5	0.10589099208751318	0.0024987506246876563
Abi2_7	0.0036230252980210542	0.7311344327836082
Abl1_nmdSE_2	0.03773015940156277	0.37231384307846077
Ablim1_3	0.15758567608053875	0.0004997501249375312
Ablim1_6	0.05773113049683809	0.30184907546226886
Ablim1_7	0.04009615181957571	0.28385807096451776
Ablim2_10	0.43130335745641635	0.0004997501249375312
Ablim2_11	0.4465515897671748	0.0004997501249375312
Ablim2_2	0.5534189107386633	0.0004997501249375312
Ablim2_4	0.5019469202770808	0.0004997501249375312
Ablim2_6	0.43667371191335624	0.0004997501249375312
Ablim3_1	0.24065417997263439	0.0004997501249375312
Ablim3_3	0.042584991090911184	0.0014992503748125937
Ablim3_4	0.14634800261492487	0.0004997501249375312
Ablim3_5	0.38447497738419323	0.0004997501249375312
Ablim3_6	0.08836959039382819	0.010994502748625687
Ablim3_7	0.4610976463439943	0.0004997501249375312
Ablim3_8	0.2760813995601582	0.0004997501249375312
Abt1_1	0.2006623954670982	0.0004997501249375312
Abtb1_1	0.02977377357028177	0.10944527736131934
Acaa1a_6	0.20864581057567255	0.0004997501249375312
Acad10_2	0.02946227737726448	0.36881559220389803
Acad10_3	0.6031210293253283	0.0004997501249375312
Acad8_1	0.03781540615467305	0.30684657671164417
Acad8_2	0.05723040376618427	0.3058470764617691
Acad8_3	0.060030766952156145	0.2848575712143928
Acad9_1	0.06084892677968401	0.09845077461269365
Acadm_2	0.11855893986482458	0.0024987506246876563
Acads_2	0.14075261889948187	0.10794602698650675
Acan_1	0.0	1.0
Acap3_2	0.15275154473204455	0.0009995002498750624
Acap3_4	0.00753958876399019	0.8595702148925537
Acat1_1	0.09495352914522792	0.0004997501249375312
Acbd4_1	0.005351753142343929	0.8470764617691154
Acbd4_3	0.11565478516154992	0.004997501249375313
Acbd4_4	0.006198631296119306	0.8235882058970515
Acbd5_5	0.035220874519934275	0.3213393303348326
Acbd6_1	0.09490062282160172	0.015492253873063468
Acbd6_2	0.4745238568362965	0.0004997501249375312
Accs_1	0.250565767990072	0.010994502748625687
Accs_2	0.15387750422543456	0.004497751124437781
Accs_3	0.03585963493361832	0.5077461269365318
Acd_2	0.04422093386270831	0.033483258370814596
Acd_3	0.14081353829050802	0.0004997501249375312
Acd_4	0.11591209250206747	0.0004997501249375312
Acin1_12	0.05060025821885261	0.013493253373313344
Acin1_7	0.02387072239002752	0.5062468765617192
Acin1_8	0.023311446802838476	0.4112943528235882
Acin1_9	0.04623768619800339	0.13943028485757122
Acly_6	0.05039985375315692	0.0004997501249375312
Aco2_1	0.4597997771931658	0.0004997501249375312
Aco2_6	0.0067499792192822206	0.3893053473263368
Acot7_1	0.00793088857661528	0.31784107946026985
Acot7_2	0.106790998219089	0.0004997501249375312
Acot8_1	0.1399559991091075	0.0004997501249375312
Acox1_1	0.2373798242601094	0.0004997501249375312
Acox1_5	0.2987923920243317	0.0004997501249375312
